retrieval_season,community,site_buried,microhabitat_buried,species,code,bury_date,retrieval_date,seeds_initial,sown_date,bag1,bag2,bag3
Spring_23,mediterranean,Penauta,Snowbed,Dianthus langeanus,040822-01,20/09/2022,17/04/2023,30,18/04/2023,6,3,6
Spring_23,mediterranean,Penauta,Snowbed,Armeria duriaei,040822-02,20/09/2022,17/04/2023,30,18/04/2023,0,0,0
Spring_23,mediterranean,Penauta,Snowbed,Plantago holosteum,090822-02,20/09/2022,17/04/2023,30,18/04/2023,5,4,6
Spring_23,mediterranean,Penauta,Snowbed,Luzula caespitosa,040822-04,20/09/2022,17/04/2023,30,18/04/2023,5,7,5
Spring_23,mediterranean,Penauta,Snowbed,Silene ciliata,040822-07,20/09/2022,17/04/2023,30,18/04/2023,0,1,4
Spring_23,mediterranean,Penauta,Snowbed,Phyteuma hemisphaericum,040822-09,20/09/2022,17/04/2023,30,18/04/2023,1,7,1
Spring_23,mediterranean,Penauta,Fellfield,Dianthus langeanus,040822-01,20/09/2022,17/04/2023,30,18/04/2023,10,10,8
Spring_23,mediterranean,Penauta,Fellfield,Armeria duriaei,040822-02,20/09/2022,17/04/2023,30,18/04/2023,0,0,0
Spring_23,mediterranean,Penauta,Fellfield,Plantago holosteum,090822-02,20/09/2022,17/04/2023,30,18/04/2023,2,0,2
Spring_23,mediterranean,Penauta,Fellfield,Luzula caespitosa,040822-04,20/09/2022,17/04/2023,30,18/04/2023,4,0,1
Spring_23,mediterranean,Penauta,Fellfield,Silene ciliata,040822-07,20/09/2022,17/04/2023,30,18/04/2023,4,4,5
Spring_23,mediterranean,Penauta,Fellfield,Phyteuma hemisphaericum,040822-09,20/09/2022,17/04/2023,30,18/04/2023,2,1,2
Spring_23,mediterranean,Solana,Snowbed,Dianthus langeanus,040822-01,20/09/2022,17/04/2023,30,18/04/2023,9,8,10
Spring_23,mediterranean,Solana,Snowbed,Armeria duriaei,040822-02,20/09/2022,17/04/2023,30,18/04/2023,0,0,0
Spring_23,mediterranean,Solana,Snowbed,Plantago holosteum,090822-02,20/09/2022,17/04/2023,30,18/04/2023,3,7,7
Spring_23,mediterranean,Solana,Snowbed,Luzula caespitosa,040822-04,20/09/2022,17/04/2023,30,18/04/2023,7,2,2
Spring_23,mediterranean,Solana,Snowbed,Silene ciliata,040822-07,20/09/2022,17/04/2023,30,18/04/2023,9,7,8
Spring_23,mediterranean,Solana,Snowbed,Phyteuma hemisphaericum,040822-09,20/09/2022,17/04/2023,30,18/04/2023,10,4,3
Spring_23,mediterranean,Solana,Fellfield,Dianthus langeanus,040822-01,20/09/2022,17/04/2023,30,18/04/2023,7,10,8
Spring_23,mediterranean,Solana,Fellfield,Armeria duriaei,040822-02,20/09/2022,17/04/2023,30,18/04/2023,0,2,0
Spring_23,mediterranean,Solana,Fellfield,Plantago holosteum,090822-02,20/09/2022,17/04/2023,30,18/04/2023,4,4,8
Spring_23,mediterranean,Solana,Fellfield,Luzula caespitosa,040822-04,20/09/2022,17/04/2023,30,18/04/2023,3,4,7
Spring_23,mediterranean,Solana,Fellfield,Silene ciliata,040822-07,20/09/2022,17/04/2023,30,18/04/2023,10,9,10
Spring_23,mediterranean,Solana,Fellfield,Phyteuma hemisphaericum,040822-09,20/09/2022,17/04/2023,30,18/04/2023,3,6,7
Spring_23,temperate,Hou,Fellfield,Carex sempervirens,190822-08,04/10/2022,31/05/2023,30,02/06/2023,5,7,7
Spring_23,temperate,Hou,Fellfield,Armeria cantabrica,190822-09,04/10/2022,31/05/2023,30,02/06/2023,5,6,8
Spring_23,temperate,Hou,Fellfield,Gypsophila repens,190822-10,04/10/2022,31/05/2023,30,02/06/2023,0,2,0
Spring_23,temperate,Hou,Fellfield,Jasione cavanillesii,230822-02,04/10/2022,31/05/2023,30,02/06/2023,1,6,0
Spring_23,temperate,Hou,Fellfield,Festuca glacialis,230822-04,04/10/2022,31/05/2023,30,02/06/2023,4,5,1
Spring_23,temperate,Hou,Fellfield,Androsace villosa,310822-01,04/10/2022,31/05/2023,30,02/06/2023,1,1,1
Spring_23,temperate,Hou,Snowbed,Carex sempervirens,190822-08,04/10/2022,31/05/2023,30,02/06/2023,0,0,0
Spring_23,temperate,Hou,Snowbed,Armeria cantabrica,190822-09,04/10/2022,31/05/2023,30,02/06/2023,3,3,3
Spring_23,temperate,Hou,Snowbed,Gypsophila repens,190822-10,04/10/2022,31/05/2023,30,02/06/2023,0,0,0
Spring_23,temperate,Hou,Snowbed,Jasione cavanillesii,230822-02,04/10/2022,31/05/2023,30,02/06/2023,0,0,0
Spring_23,temperate,Hou,Snowbed,Festuca glacialis,230822-04,04/10/2022,31/05/2023,30,02/06/2023,0,0,0
Spring_23,temperate,Hou,Snowbed,Androsace villosa,310822-01,04/10/2022,31/05/2023,30,02/06/2023,0,0,0
Spring_23,temperate,Boches,Fellfield,Carex sempervirens,190822-08,05/10/2022,31/05/2023,30,02/06/2023,6,5,4
Spring_23,temperate,Boches,Fellfield,Armeria cantabrica,190822-09,05/10/2022,31/05/2023,30,02/06/2023,8,6,6
Spring_23,temperate,Boches,Fellfield,Gypsophila repens,190822-10,05/10/2022,31/05/2023,30,02/06/2023,3,5,6
Spring_23,temperate,Boches,Fellfield,Jasione cavanillesii,230822-02,05/10/2022,31/05/2023,30,02/06/2023,1,3,5
Spring_23,temperate,Boches,Fellfield,Festuca glacialis,230822-04,05/10/2022,31/05/2023,30,02/06/2023,8,8,5
Spring_23,temperate,Boches,Fellfield,Androsace villosa,310822-01,05/10/2022,31/05/2023,30,02/06/2023,2,5,3
Spring_23,temperate,Boches,Snowbed,Carex sempervirens,190822-08,05/10/2022,30/06/2023,30,03/07/2023,0,0,2
Spring_23,temperate,Boches,Snowbed,Armeria cantabrica,190822-09,05/10/2022,30/06/2023,30,03/07/2023,6,8,10
Spring_23,temperate,Boches,Snowbed,Gypsophila repens,190822-10,05/10/2022,30/06/2023,30,03/07/2023,0,0,0
Spring_23,temperate,Boches,Snowbed,Jasione cavanillesii,230822-02,05/10/2022,30/06/2023,30,03/07/2023,0,2,0
Spring_23,temperate,Boches,Snowbed,Festuca glacialis,230822-04,05/10/2022,30/06/2023,30,03/07/2023,6,4,0
Spring_23,temperate,Boches,Snowbed,Androsace villosa,310822-01,05/10/2022,30/06/2023,30,03/07/2023,0,0,0
Autumn_23,mediterranean,Penauta,Snowbed,Dianthus langeanus,040822-01,20/09/2022,20/11/2023,30,22/11/2023,10,9,10
Autumn_23,mediterranean,Penauta,Snowbed,Armeria duriaei,040822-02,20/09/2022,20/11/2023,30,22/11/2023,5,4,7
Autumn_23,mediterranean,Penauta,Snowbed,Plantago holosteum,090822-02,20/09/2022,20/11/2023,30,22/11/2023,7,7,9
Autumn_23,mediterranean,Penauta,Snowbed,Luzula caespitosa,040822-04,20/09/2022,20/11/2023,20,22/11/2023,5,4,3
Autumn_23,mediterranean,Penauta,Snowbed,Silene ciliata,040822-07,20/09/2022,20/11/2023,30,22/11/2023,7,9,7
Autumn_23,mediterranean,Penauta,Snowbed,Phyteuma hemisphaericum,040822-09,20/09/2022,20/11/2023,30,22/11/2023,5,3,8
Autumn_23,mediterranean,Penauta,Fellfield,Dianthus langeanus,040822-01,20/09/2022,20/11/2023,30,22/11/2023,9,9,10
Autumn_23,mediterranean,Penauta,Fellfield,Armeria duriaei,040822-02,20/09/2022,20/11/2023,30,22/11/2023,5,2,7
Autumn_23,mediterranean,Penauta,Fellfield,Plantago holosteum,090822-02,20/09/2022,20/11/2023,30,22/11/2023,5,3,6
Autumn_23,mediterranean,Penauta,Fellfield,Luzula caespitosa,040822-04,20/09/2022,20/11/2023,30,22/11/2023,1,5,6
Autumn_23,mediterranean,Penauta,Fellfield,Silene ciliata,040822-07,20/09/2022,20/11/2023,30,22/11/2023,8,6,7
Autumn_23,mediterranean,Penauta,Fellfield,Phyteuma hemisphaericum,040822-09,20/09/2022,20/11/2023,30,22/11/2023,3,4,4
Autumn_23,mediterranean,Solana,Snowbed,Dianthus langeanus,040822-01,20/09/2022,20/11/2023,30,22/11/2023,10,10,10
Autumn_23,mediterranean,Solana,Snowbed,Armeria duriaei,040822-02,20/09/2022,20/11/2023,30,22/11/2023,8,5,5
Autumn_23,mediterranean,Solana,Snowbed,Plantago holosteum,090822-02,20/09/2022,20/11/2023,30,22/11/2023,7,2,8
Autumn_23,mediterranean,Solana,Snowbed,Luzula caespitosa,040822-04,20/09/2022,20/11/2023,30,22/11/2023,6,6,3
Autumn_23,mediterranean,Solana,Snowbed,Silene ciliata,040822-07,20/09/2022,20/11/2023,30,22/11/2023,9,10,9
Autumn_23,mediterranean,Solana,Snowbed,Phyteuma hemisphaericum,040822-09,20/09/2022,20/11/2023,30,22/11/2023,10,10,7
Autumn_23,mediterranean,Solana,Fellfield,Dianthus langeanus,040822-01,20/09/2022,20/11/2023,30,22/11/2023,9,10,9
Autumn_23,mediterranean,Solana,Fellfield,Armeria duriaei,040822-02,20/09/2022,20/11/2023,30,22/11/2023,8,7,4
Autumn_23,mediterranean,Solana,Fellfield,Plantago holosteum,090822-02,20/09/2022,20/11/2023,30,22/11/2023,6,9,7
Autumn_23,mediterranean,Solana,Fellfield,Luzula caespitosa,040822-04,20/09/2022,20/11/2023,30,22/11/2023,2,5,1
Autumn_23,mediterranean,Solana,Fellfield,Silene ciliata,040822-07,20/09/2022,20/11/2023,30,22/11/2023,10,3,6
Autumn_23,mediterranean,Solana,Fellfield,Phyteuma hemisphaericum,040822-09,20/09/2022,20/11/2023,30,22/11/2023,0,4,5
Autumn_23,temperate,Hou,Fellfield,Carex sempervirens,190822-08,04/10/2022,10/10/2023,30,11/10/2023,2,2,5
Autumn_23,temperate,Hou,Fellfield,Armeria cantabrica,190822-09,04/10/2022,10/10/2023,30,11/10/2023,9,7,3
Autumn_23,temperate,Hou,Fellfield,Gypsophila repens,190822-10,04/10/2022,10/10/2023,30,11/10/2023,0,2,0
Autumn_23,temperate,Hou,Fellfield,Jasione cavanillesii,230822-02,04/10/2022,10/10/2023,30,11/10/2023,1,0,0
Autumn_23,temperate,Hou,Fellfield,Festuca glacialis,230822-04,04/10/2022,10/10/2023,30,11/10/2023,4,5,4
Autumn_23,temperate,Hou,Fellfield,Androsace villosa,310822-01,04/10/2022,10/10/2023,30,11/10/2023,0,2,1
Autumn_23,temperate,Hou,Snowbed,Carex sempervirens,190822-08,04/10/2022,10/10/2023,30,11/10/2023,6,1,4
Autumn_23,temperate,Hou,Snowbed,Armeria cantabrica,190822-09,04/10/2022,10/10/2023,30,11/10/2023,10,6,7
Autumn_23,temperate,Hou,Snowbed,Gypsophila repens,190822-10,04/10/2022,10/10/2023,30,11/10/2023,0,0,2
Autumn_23,temperate,Hou,Snowbed,Jasione cavanillesii,230822-02,04/10/2022,10/10/2023,30,11/10/2023,6,0,0
Autumn_23,temperate,Hou,Snowbed,Festuca glacialis,230822-04,04/10/2022,10/10/2023,30,11/10/2023,8,9,9
Autumn_23,temperate,Hou,Snowbed,Androsace villosa,310822-01,04/10/2022,10/10/2023,30,11/10/2023,5,2,2
Autumn_23,temperate,Boches,Fellfield,Carex sempervirens,190822-08,05/10/2022,10/10/2023,30,11/10/2023,0,4,3
Autumn_23,temperate,Boches,Fellfield,Armeria cantabrica,190822-09,05/10/2022,10/10/2023,30,11/10/2023,8,10,10
Autumn_23,temperate,Boches,Fellfield,Gypsophila repens,190822-10,05/10/2022,10/10/2023,30,11/10/2023,0,0,0
Autumn_23,temperate,Boches,Fellfield,Jasione cavanillesii,230822-02,05/10/2022,10/10/2023,30,11/10/2023,1,2,0
Autumn_23,temperate,Boches,Fellfield,Festuca glacialis,230822-04,05/10/2022,10/10/2023,30,11/10/2023,8,9,3
Autumn_23,temperate,Boches,Fellfield,Androsace villosa,310822-01,05/10/2022,10/10/2023,30,11/10/2023,0,5,1
Autumn_23,temperate,Boches,Snowbed,Carex sempervirens,190822-08,05/10/2022,10/10/2023,30,11/10/2023,0,0,2
Autumn_23,temperate,Boches,Snowbed,Armeria cantabrica,190822-09,05/10/2022,10/10/2023,30,11/10/2023,9,10,4
Autumn_23,temperate,Boches,Snowbed,Gypsophila repens,190822-10,05/10/2022,10/10/2023,30,11/10/2023,0,0,0
Autumn_23,temperate,Boches,Snowbed,Jasione cavanillesii,230822-02,05/10/2022,10/10/2023,30,11/10/2023,0,1,0
Autumn_23,temperate,Boches,Snowbed,Festuca glacialis,230822-04,05/10/2022,10/10/2023,30,11/10/2023,8,10,8
Autumn_23,temperate,Boches,Snowbed,Androsace villosa,310822-01,05/10/2022,10/10/2023,30,11/10/2023,0,3,1
