Macroclimate;Specie;Site;code;Plant;N seeds;
Mediterranean;Agrostis tileni;Penauta;250821-06;1;11;pasadas?
Mediterranean;Agrostis tileni;Penauta;250821-06;2;4;pasadas?
Mediterranean;Agrostis tileni;Penauta;250821-06;3;51;pasadas?
Mediterranean;Agrostis tileni;Penauta;250821-06;4;9;pasadas?
Mediterranean;Agrostis tileni;Penauta;250821-06;5;3;pasadas?
Mediterranean;Agrostis tileni;Penauta;250821-06;6;34;pasadas?
Mediterranean;Agrostis tileni;Penauta;250821-06;7;3;pasadas?
Mediterranean;Agrostis tileni;Penauta;250821-06;8;2;pasadas?
Mediterranean;Agrostis tileni;Penauta;250821-06;9;7;pasadas?
Mediterranean;Agrostis tileni;Penauta;250821-06;10;3;pasadas?
Mediterranean;Agrostis tileni;Solana;250821-10;1;0;pasadas?
Mediterranean;Agrostis tileni;Solana;250821-10;2;0;pasadas?
Mediterranean;Agrostis tileni;Solana;250821-10;3;0;pasadas?
Mediterranean;Agrostis tileni;Solana;250821-10;4;0;pasadas?
Mediterranean;Agrostis tileni;Solana;250821-10;5;0;pasadas?
Mediterranean;Agrostis tileni;Solana;250821-10;6;0;pasadas?
Mediterranean;Agrostis tileni;Solana;250821-10;7;0;pasadas?
Mediterranean;Agrostis tileni;Solana;250821-10;8;0;pasadas?
Mediterranean;Agrostis tileni;Solana;250821-10;9;0;pasadas?
Mediterranean;Agrostis tileni;Solana;250821-10;10;0;pasadas?
Temperate;Androsace villosa;Hoyo sin tierra;300821-03;1;46;
Temperate;Androsace villosa;Hoyo sin tierra;300821-03;2;9;
Temperate;Androsace villosa;Hoyo sin tierra;300821-03;3;34;
Temperate;Androsace villosa;Hoyo sin tierra;300821-03;4;19;
Temperate;Androsace villosa;Hoyo sin tierra;300821-03;5;16;
Temperate;Androsace villosa;Hoyo sin tierra;300821-03;6;21;
Temperate;Androsace villosa;Hoyo sin tierra;300821-03;7;7;
Temperate;Androsace villosa;Hoyo sin tierra;300821-03;8;21;
Temperate;Androsace villosa;Hoyo sin tierra;300821-03;9;33;
Temperate;Androsace villosa;Hoyo sin tierra;300821-03;10;18;
Temperate ;Androsace villosa;Los cazadores;310821-11;1;8;
Temperate ;Androsace villosa;Los cazadores;310821-11;2;38;
Temperate ;Androsace villosa;Los cazadores;310821-11;3;12;
Temperate ;Androsace villosa;Los cazadores;310821-11;4;32;
Temperate ;Androsace villosa;Los cazadores;310821-11;5;15;
Temperate ;Androsace villosa;Los cazadores;310821-11;6;28;
Temperate ;Androsace villosa;Los cazadores;310821-11;7;14;
Temperate ;Androsace villosa;Los cazadores;310821-11;8;18;
Temperate ;Androsace villosa;Los cazadores;310821-11;9;16;
Temperate ;Androsace villosa;Los cazadores;310821-11;10;29;
Temperate;Anthyllis vulneraria;Hoyo sin tierra;300821-04;1;9;pasadas?
Temperate;Anthyllis vulneraria;Hoyo sin tierra;300821-04;2;11;pasadas?
Temperate;Anthyllis vulneraria;Hoyo sin tierra;300821-04;3;15;pasadas?
Temperate;Anthyllis vulneraria;Hoyo sin tierra;300821-04;4;7;pasadas?
Temperate;Anthyllis vulneraria;Hoyo sin tierra;300821-04;5;6;pasadas?
Temperate;Anthyllis vulneraria;Hoyo sin tierra;300821-04;6;3;pasadas?
Temperate;Anthyllis vulneraria;Hoyo sin tierra;300821-04;7;13;pasadas?
Temperate;Anthyllis vulneraria;Hoyo sin tierra;300821-04;8;1;pasadas?
Temperate;Anthyllis vulneraria;Hoyo sin tierra;300821-04;9;1;pasadas?
Temperate;Anthyllis vulneraria;Hoyo sin tierra;300821-04;10;7;pasadas?
Temperate;Anthyllis vulneraria;Los cazadores;310821-12;1;28;pasadas?
Temperate;Anthyllis vulneraria;Los cazadores;310821-12;2;9;pasadas?
Temperate;Anthyllis vulneraria;Los cazadores;310821-12;3;17;pasadas?
Temperate;Anthyllis vulneraria;Los cazadores;310821-12;4;17;pasadas?
Temperate;Anthyllis vulneraria;Los cazadores;310821-12;5;11;pasadas?
Temperate;Anthyllis vulneraria;Los cazadores;310821-12;6;14;pasadas?
Temperate;Anthyllis vulneraria;Los cazadores;310821-12;7;22;pasadas?
Temperate;Anthyllis vulneraria;Los cazadores;310821-12;8;9;pasadas?
Temperate;Anthyllis vulneraria;Los cazadores;310821-12;9;25;pasadas?
Temperate;Anthyllis vulneraria;Los cazadores;310821-12;10;4;pasadas?
Temperate ;Arenaria erinacea;Hoyo sin tierra;300821-08;1;75;
Temperate ;Arenaria erinacea;Hoyo sin tierra;300821-08;2;21;
Temperate ;Arenaria erinacea;Hoyo sin tierra;300821-08;3;54;
Temperate ;Arenaria erinacea;Hoyo sin tierra;300821-08;4;77;
Temperate ;Arenaria erinacea;Hoyo sin tierra;300821-08;5;29;
Temperate ;Arenaria erinacea;Hoyo sin tierra;300821-08;6;24;
Temperate ;Arenaria erinacea;Hoyo sin tierra;300821-08;7;119;
Temperate ;Arenaria erinacea;Hoyo sin tierra;300821-08;8;18;
Temperate ;Arenaria erinacea;Hoyo sin tierra;300821-08;9;50;
Temperate ;Arenaria erinacea;Hoyo sin tierra;300821-08;10;48;
Temperate;Arenaria moehringioides;Boches;140921-02;1;4;
Temperate;Arenaria moehringioides;Boches;140921-02;2;3;
Temperate;Arenaria moehringioides;Boches;140921-02;3;6;
Temperate;Arenaria moehringioides;Boches;140921-02;4;17;
Temperate;Arenaria moehringioides;Boches;140921-02;5;0;
Temperate;Arenaria moehringioides;Boches;140921-02;6;10;
Temperate;Arenaria moehringioides;Boches;140921-02;7;7;
Temperate;Arenaria moehringioides;Boches;140921-02;8;3;
Temperate;Arenaria moehringioides;Boches;140921-02;9;4;
Temperate;Arenaria moehringioides;Boches;140921-02;10;0;
Temperate;Armeria cantabrica;Boches;140921-07;1;0;pasadas?
Temperate;Armeria cantabrica;Boches;140921-07;2;3;pasadas?
Temperate;Armeria cantabrica;Boches;140921-07;3;2;pasadas?
Temperate;Armeria cantabrica;Boches;140921-07;4;0;pasadas?
Temperate;Armeria cantabrica;Boches;140921-07;5;0;pasadas?
Temperate;Armeria cantabrica;Boches;140921-07;6;2;pasadas?
Temperate;Armeria cantabrica;Boches;140921-07;7;0;pasadas?
Temperate;Armeria cantabrica;Boches;140921-07;8;0;pasadas?
Temperate;Armeria cantabrica;Boches;140921-07;9;1;pasadas?
Temperate;Armeria cantabrica;Boches;140921-07;10;0;pasadas?
Temperate;Armeria cantabrica;Hou sin tierri;130921-15;1;7;pasadas?
Temperate;Armeria cantabrica;Hou sin tierri;130921-15;2;5;pasadas?
Temperate;Armeria cantabrica;Hou sin tierri;130921-15;3;1;pasadas?
Temperate;Armeria cantabrica;Hou sin tierri;130921-15;4;1;pasadas?
Temperate;Armeria cantabrica;Hou sin tierri;130921-15;5;0;pasadas?
Temperate;Armeria cantabrica;Hou sin tierri;130921-15;6;6;pasadas?
Temperate;Armeria cantabrica;Hou sin tierri;130921-15;7;1;pasadas?
Temperate;Armeria cantabrica;Hou sin tierri;130921-15;8;4;pasadas?
Temperate;Armeria cantabrica;Hou sin tierri;130921-15;9;1;pasadas?
Temperate;Armeria cantabrica;Hou sin tierri;130921-15;10;1;pasadas?
Temperate;Armeria cantabrica;Boches;230822-01;1;22;
Temperate;Armeria cantabrica;Boches;230822-01;2;29;
Temperate;Armeria cantabrica;Boches;230822-01;3;24;
Temperate;Armeria cantabrica;Boches;230822-01;4;28;
Temperate;Armeria cantabrica;Boches;230822-01;5;23;
Temperate;Armeria cantabrica;Boches;230822-01;6;12;
Temperate;Armeria cantabrica;Boches;230822-01;7;12;
Temperate;Armeria cantabrica;Boches;230822-01;8;9;
Temperate;Armeria cantabrica;Boches;230822-01;9;11;
Temperate;Armeria cantabrica;Boches;230822-01;10;35;
Temperate ;Armeria cantabrica;Los boches;140921-07;1;2;pasadas?
Temperate ;Armeria cantabrica;Los boches;140921-07;2;1;pasadas?
Temperate ;Armeria cantabrica;Los boches;140921-07;3;3;pasadas?
Temperate ;Armeria cantabrica;Los boches;140921-07;4;2;pasadas?
Mediterranean;Armeria duriaei;Penauta;250821-01;1;58;
Mediterranean;Armeria duriaei;Penauta;250821-01;2;28;
Mediterranean;Armeria duriaei;Penauta;250821-01;3;19;
Mediterranean;Armeria duriaei;Penauta;250821-01;4;40;
Mediterranean;Armeria duriaei;Penauta;250821-01;5;72;
Mediterranean;Armeria duriaei;Penauta;250821-01;6;31;
Mediterranean;Armeria duriaei;Penauta;250821-01;7;181;
Mediterranean;Armeria duriaei;Penauta;250821-01;8;14;
Mediterranean;Armeria duriaei;Penauta;250821-01;9;14;
Mediterranean;Armeria duriaei;Penauta;250821-01;10;36;
Mediterranean;Armeria duriaei;Penauta;250821-01;1;51;
Mediterranean;Armeria duriaei;Penauta;250821-01;2;71;
Mediterranean;Armeria duriaei;Penauta;250821-01;3;202;
Mediterranean;Armeria duriaei;Penauta;250821-01;4;2;
Mediterranean;Armeria duriaei;Penauta;250821-01;5;13;
Mediterranean;Armeria duriaei;Penauta;250821-01;6;36;
Mediterranean;Armeria duriaei;Penauta;250821-01;7;100;
Mediterranean;Armeria duriaei;Penauta;250821-01;8;118;
Mediterranean;Armeria duriaei;Penauta;250821-01;9;143;
Mediterranean;Armeria duriaei;Penauta;250821-01;10;284;
Mediterranean;Armeria duriaei;Rabinalto;240821-01;1;232;
Mediterranean;Armeria duriaei;Rabinalto;240821-01;2;7;
Mediterranean;Armeria duriaei;Rabinalto;240821-01;3;104;
Mediterranean;Armeria duriaei;Rabinalto;240821-01;4;171;
Mediterranean;Armeria duriaei;Rabinalto;240821-01;5;26;
Mediterranean;Armeria duriaei;Rabinalto;240821-01;6;41;
Mediterranean;Armeria duriaei;Rabinalto;240821-01;7;35;
Mediterranean;Armeria duriaei;Rabinalto;240821-01;8;25;
Mediterranean;Armeria duriaei;Rabinalto;240821-01;9;16;
Mediterranean;Armeria duriaei;Rabinalto;240821-01;10;60;
Temperate ;Carex sempervirens;Hou sin tierri;130921-02;1;6;
Temperate ;Carex sempervirens;Hou sin tierri;130921-02;2;10;
Temperate ;Carex sempervirens;Hou sin tierri;130921-02;3;26;
Temperate ;Carex sempervirens;Hou sin tierri;130921-02;4;47;
Temperate ;Carex sempervirens;Hou sin tierri;130921-02;5;14;
Temperate ;Carex sempervirens;Hou sin tierri;130921-02;6;84;
Temperate ;Carex sempervirens;Hou sin tierri;130921-02;7;74;
Temperate ;Carex sempervirens;Hou sin tierri;130921-02;8;4;
Temperate ;Carex sempervirens;Hou sin tierri;130921-02;9;6;
Temperate ;Carex sempervirens;Hou sin tierri;130921-02;10;10;
Temperate ;Carex sempervirens;Los cazadores;310821-13;1;34;
Temperate ;Carex sempervirens;Los cazadores;310821-13;2;8;
Temperate ;Carex sempervirens;Los cazadores;310821-13;3;17;
Temperate ;Carex sempervirens;Los cazadores;310821-13;4;15;
Temperate ;Carex sempervirens;Los cazadores;310821-13;5;23;
Temperate ;Carex sempervirens;Los cazadores;310821-13;6;17;
Temperate ;Carex sempervirens;Los cazadores;310821-13;7;9;
Temperate ;Carex sempervirens;Los cazadores;310821-13;8;22;
Temperate ;Carex sempervirens;Los cazadores;310821-13;9;9;
Temperate ;Carex sempervirens;Los cazadores;310821-13;10;10;
Mediterranean;Conopodium majus;Penauta;250821-04;1;20;
Mediterranean;Conopodium majus;Penauta;250821-04;2;42;
Mediterranean;Conopodium majus;Penauta;250821-04;3;4;
Mediterranean;Conopodium majus;Penauta;250821-04;4;32;
Mediterranean;Conopodium majus;Penauta;250821-04;5;64;
Mediterranean;Conopodium majus;Penauta;250821-04;6;38;
Mediterranean;Conopodium majus;Penauta;250821-04;7;26;
Mediterranean;Conopodium majus;Penauta;250821-04;8;22;
Mediterranean;Conopodium majus;Penauta;250821-04;9;2;
Mediterranean;Conopodium majus;Penauta;250821-04;10;8;
Mediterranean;Conopodium majus;Penauta;040822-03;1;6;
Mediterranean;Conopodium majus;Penauta;040822-03;2;93;
Mediterranean;Conopodium majus;Penauta;040822-03;3;15;
Mediterranean;Conopodium majus;Penauta;040822-03;4;26;
Mediterranean;Conopodium majus;Penauta;040822-03;5;45;
Mediterranean;Conopodium majus;Penauta;040822-03;6;33;
Mediterranean;Conopodium majus;Penauta;040822-03;7;27;
Mediterranean;Conopodium majus;Penauta;040822-03;8;53;
Mediterranean;Conopodium majus;Penauta;040822-03;9;96;
Mediterranean;Conopodium majus;Penauta;040822-03;10;16;
Temperate;Dethawia splendens;Los cazadores;310821-07;1;1;
Temperate;Dethawia splendens;Los cazadores;310821-07;2;9;
Temperate;Dethawia splendens;Los cazadores;310821-07;3;9;
Temperate;Dethawia splendens;Los cazadores;310821-07;4;11;
Temperate;Dethawia splendens;Los cazadores;310821-07;5;22;
Temperate;Dethawia splendens;Los cazadores;310821-07;6;21;
Temperate;Dethawia splendens;Los cazadores;310821-07;7;5;
Temperate;Dethawia splendens;Los cazadores;310821-07;8;3;
Temperate;Dethawia splendens;Los cazadores;310821-07;9;5;
Temperate;Dethawia splendens;Los cazadores;310821-07;10;10;
Temperate;Dethawia splendens;Los cazadores;300822-04;1;3;
Temperate;Dethawia splendens;Los cazadores;300822-04;2;1;
Temperate;Dethawia splendens;Los cazadores;300822-04;3;2;
Temperate;Dethawia splendens;Los cazadores;300822-04;4;13;
Temperate;Dethawia splendens;Los cazadores;300822-04;5;0;
Temperate;Dethawia splendens;Los cazadores;300822-04;6;6;
Temperate;Dethawia splendens;Los cazadores;300822-04;7;4;
Temperate;Dethawia splendens;Los cazadores;300822-04;8;10;
Temperate;Dethawia splendens;Los cazadores;300822-04;9;4;
Temperate;Dethawia splendens;Los cazadores;300822-04;10;11;
Temperate;Dethawia splendens;Los cazadores;300822-04;11;1;
Mediterranean;Dianthus langeanus;Cañada;120821-02;1;73;
Mediterranean;Dianthus langeanus;Cañada;120821-02;2;49;
Mediterranean;Dianthus langeanus;Cañada;120821-02;3;98;
Mediterranean;Dianthus langeanus;Cañada;120821-02;4;41;
Mediterranean;Dianthus langeanus;Cañada;120821-02;5;272;
Mediterranean;Dianthus langeanus;Cañada;120821-02;6;80;
Mediterranean;Dianthus langeanus;Cañada;120821-02;7;112;
Mediterranean;Dianthus langeanus;Cañada;120821-02;8;56;
Mediterranean;Dianthus langeanus;Cañada;120821-02;9;15;
Mediterranean;Dianthus langeanus;Cañada;120821-02;10;27;
Mediterranean;Dianthus langeanus;Penauta;110821-01;1;7;
Mediterranean;Dianthus langeanus;Penauta;110821-01;2;17;
Mediterranean;Dianthus langeanus;Penauta;110821-01;3;12;
Mediterranean;Dianthus langeanus;Penauta;110821-01;4;25;
Mediterranean;Dianthus langeanus;Penauta;110821-01;5;70;
Mediterranean;Dianthus langeanus;Penauta;110821-01;6;31;
Mediterranean;Dianthus langeanus;Penauta;110821-01;7;121;
Mediterranean;Dianthus langeanus;Penauta;110821-01;8;48;
Mediterranean;Dianthus langeanus;Penauta;110821-01;9;71;
Mediterranean;Dianthus langeanus;Penauta;110821-01;10;50;
Temperate;Erigeron alpinus;Boches;230822-06;1;19;
Temperate;Erigeron alpinus;Boches;230822-06;2;4;
Temperate;Erigeron alpinus;Boches;230822-06;3;13;
Temperate;Erigeron alpinus;Boches;230822-06;4;13;
Temperate;Erigeron alpinus;Boches;230822-06;5;0;
Temperate;Erigeron alpinus;Boches;230822-06;6;2;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;1;19;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;2;14;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;3;11;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;4;10;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;5;2;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;6;13;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;7;11;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;8;9;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;9;3;
Temperate ;Euphrasia salisburgensis;Hou sin tierri;011021-01;10;19;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;1;5;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;2;2;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;3;56;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;4;12;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;5;0;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;6;10;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;7;0;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;8;1;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;9;2;
Temperate ;Euphrasia salisburgensis;Los cazadores;300921-01;10;0;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;1;7;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;2;3;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;3;13;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;4;6;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;5;0;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;6;10;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;7;7;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;8;7;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;9;0;
Temperate;Festuca glacialis;Hou sin tierri;190822-03;10;0;
Temperate;Festuca glacialis;Boches;230822-04;1;12;
Temperate;Festuca glacialis;Boches;230822-04;2;27;
Temperate;Festuca glacialis;Boches;230822-04;3;16;
Temperate;Festuca glacialis;Boches;230822-04;4;19;
Temperate;Festuca glacialis;Boches;230822-04;5;15;
Temperate;Festuca glacialis;Boches;230822-04;6;16;
Temperate;Festuca glacialis;Boches;230822-04;7;14;
Temperate;Festuca glacialis;Boches;230822-04;8;14;
Temperate;Festuca glacialis;Boches;230822-04;9;12;
Temperate;Festuca glacialis;Boches;230822-04;10;12;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;1;1;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;2;5;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;3;2;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;4;0;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;5;0;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;6;4;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;7;0;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;8;0;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;9;5;
Temperate;Festuca hystrix;Hou sin tierri;130921-16;10;0;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;1;1;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;2;1;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;3;1;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;4;1;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;5;0;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;6;0;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;7;0;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;8;1;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;9;0;
Temperate;Festuca hystrix;Hoyo sin tierra;300821-01;10;0;
Temperate ;Festuca rubra;Los cazadores;310821-02;1;0;black
Temperate ;Festuca rubra;Los cazadores;310821-02;2;57;black
Temperate ;Festuca rubra;Los cazadores;310821-02;3;111;black
Temperate ;Festuca rubra;Los cazadores;310821-02;4;1;black
Temperate ;Festuca rubra;Los cazadores;310821-02;5;30;brown
Temperate ;Festuca rubra;Los cazadores;310821-02;6;39;brown
Temperate ;Festuca rubra;Los cazadores;310821-02;7;178;brown
Temperate ;Festuca rubra;Los cazadores;310821-02;8;104;brown
Temperate ;Festuca rubra;Los cazadores;310821-02;9;62;brown
Temperate ;Festuca rubra;Los cazadores;310821-02;10;50;brown
Mediterranean;Festuca summilusitana;Penauta;250821-02;1;8;
Mediterranean;Festuca summilusitana;Penauta;250821-02;2;25;
Mediterranean;Festuca summilusitana;Penauta;250821-02;3;15;
Mediterranean;Festuca summilusitana;Penauta;250821-02;4;18;
Mediterranean;Festuca summilusitana;Penauta;250821-02;5;14;
Mediterranean;Festuca summilusitana;Penauta;250821-02;6;19;
Mediterranean;Festuca summilusitana;Penauta;250821-02;7;16;
Mediterranean;Festuca summilusitana;Penauta;250821-02;8;38;
Mediterranean;Festuca summilusitana;Penauta;250821-02;9;29;
Mediterranean;Festuca summilusitana;Penauta;250821-02;10;3;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;1;6;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;2;82;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;3;306;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;4;110;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;5;80;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;6;52;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;7;161;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;8;116;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;9;47;
Mediterranean;Festuca summilusitana;Rabinalto;240821-02;10;21;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;1;24;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;2;158;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;3;13;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;4;119;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;5;334;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;6;37;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;7;6;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;8;96;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;9;21;
Temperate ;Gentiana verna;Hou sin tierri;130921-06;10;0;
Temperate ;Gentiana verna;Los boches;140921-06;1;1;
Temperate ;Gentiana verna;Los boches;140921-06;2;46;
Temperate ;Gentiana verna;Los boches;140921-06;3;25;
Temperate ;Gentiana verna;Los boches;140921-06;4;37;
Temperate ;Gentiana verna;Los boches;140921-06;5;48;
Temperate ;Gentiana verna;Los boches;140921-06;6;31;
Temperate ;Gentiana verna;Los boches;140921-06;7;20;
Temperate ;Gentiana verna;Los boches;140921-06;8;5;
Temperate ;Gentiana verna;Los boches;140921-06;9;24;
Temperate ;Gentiana verna;Los boches;140921-06;10;12;
Temperate;Gentianella campestris;Los cazadores;300921-03;1;175;
Temperate;Gentianella campestris;Los cazadores;300921-03;2;110;
Temperate;Gentianella campestris;Los cazadores;300921-03;3;661;
Temperate;Gentianella campestris;Los cazadores;300921-03;4;141;
Temperate;Gentianella campestris;Los cazadores;300921-03;5;593;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;1;32;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;2;0;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;3;2;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;4;11;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;5;1;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;6;12;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;7;20;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;8;11;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;9;7;
Temperate;Gypsophila repens;Hoyo sin tierra;300821-10;10;9;
Temperate ;Gypsophila repens;Los cazadores;310821-08;1;176;
Temperate ;Gypsophila repens;Los cazadores;310821-08;2;15;
Temperate ;Gypsophila repens;Los cazadores;310821-08;3;89;
Temperate ;Gypsophila repens;Los cazadores;310821-08;4;19;
Temperate ;Gypsophila repens;Los cazadores;310821-08;5;80;
