species;accession;code;incubator;petridish;mgr;syn
Plantago alpina;300821-15;300821-15;Snowbed;2;0.004141566;0.2207792
Plantago alpina;300821-15;300821-15;Snowbed;3;0.004105371;0.2028986
Plantago alpina;300821-15;300821-15;Snowbed;4;0.004142502;0.2433333
Plantago holosteum;240821-04;240821-04;Fellfield;1;0.071428571;1
Plantago holosteum;240821-04;240821-04;Fellfield;2;0.071428571;1
Plantago holosteum;240821-04;240821-04;Fellfield;3;0.071428571;1
Plantago holosteum;240821-04;240821-04;Fellfield;4;0.071428571;1
Plantago holosteum;240821-04;240821-04;Snowbed;1;0.071428571;1
Plantago holosteum;240821-04;240821-04;Snowbed;2;0.071428571;1
Plantago holosteum;240821-04;240821-04;Snowbed;3;0.071428571;1
Plantago holosteum;240821-04;240821-04;Snowbed;4;0.071428571;1
Plantago holosteum;240821-04;240821-04b;Fellfield;5;0.017857143;1
Plantago holosteum;240821-04;240821-04b;Fellfield;6;0.017857143;1
Plantago holosteum;240821-04;240821-04b;Snowbed;5;0.01065449;0.6619048
Plantago holosteum;240821-04;240821-04b;Snowbed;6;0.008219178;0.4565217
Plantago holosteum;250821-12;250821-12;Fellfield;1;0.024922118;0.8369565
Plantago holosteum;250821-12;250821-12;Fellfield;2;0.045454545;1
Plantago holosteum;250821-12;250821-12;Fellfield;3;0.025201613;0.8433333
Plantago holosteum;250821-12;250821-12;Fellfield;4;0.026123302;0.8433333
Plantago holosteum;250821-12;250821-12;Snowbed;1;0.045454545;1
Plantago holosteum;250821-12;250821-12;Snowbed;2;0.019716088;0.77
Plantago holosteum;250821-12;250821-12;Snowbed;3;0.019186493;0.77
Plantago holosteum;250821-12;250821-12;Snowbed;4;0.014068655;0.6433333
Plantago holosteum;250821-12;250821-12b;Fellfield;5;0.011380505;0.6284585
Plantago holosteum;250821-12;250821-12b;Fellfield;6;0.009393681;0.4718615
Plantago holosteum;250821-12;250821-12b;Snowbed;5;0.00394384;0.3266667
Plantago holosteum;250821-12;250821-12b;Snowbed;6;0.003957131;0.2427536
Ranunculus carianthiacus;310821-16;310821-16;Fellfield;1;0.003759398;1
Ranunculus carianthiacus;310821-16;310821-16;Snowbed;1;;
Salix fontqueri;140921-01;140921-01;Fellfield;1;;
Salix fontqueri;140921-01;140921-01;Snowbed;1;;
Saxifraga conifera;130921-09;130921-09;Fellfield;1;0.025236593;0.4583333
Saxifraga conifera;130921-09;130921-09;Fellfield;2;0.014778325;0.3181818
Saxifraga conifera;130921-09;130921-09;Fellfield;3;0.05704698;0.6176471
Saxifraga conifera;130921-09;130921-09;Fellfield;4;0.009964413;0.2307692
Saxifraga conifera;130921-09;130921-09;Snowbed;1;0.003397508;0.4444444
Saxifraga conifera;130921-09;130921-09;Snowbed;2;0.003023639;0.3636364
Saxifraga conifera;130921-09;130921-09;Snowbed;3;0.003008424;0.3
Saxifraga conifera;130921-09;130921-09;Snowbed;4;0.003404255;0.3083333
Saxifraga conifera;140921-08;140921-08;Fellfield;1;0.015873016;0.75
Saxifraga conifera;140921-08;140921-08;Fellfield;2;0.005839416;0.25
Saxifraga conifera;140921-08;140921-08;Fellfield;3;0.004845815;0.1090909
Saxifraga conifera;140921-08;140921-08;Snowbed;1;0.005054152;0.1904762
Saxifraga conifera;140921-08;140921-08;Snowbed;2;0.00306396;0.1583333
Saxifraga conifera;140921-08;140921-08;Snowbed;3;0.003005259;0.5
Saxifraga paniculata;310821-14;310821-14;Fellfield;1;0.004350405;0.3290043
Saxifraga paniculata;310821-14;310821-14;Fellfield;2;0.004482697;0.4733333
Saxifraga paniculata;310821-14;310821-14;Fellfield;3;0.004501859;0.5770751
Saxifraga paniculata;310821-14;310821-14;Fellfield;4;0.004405286;0.3478261
Saxifraga paniculata;310821-14;310821-14;Snowbed;1;0.003616637;0.5
Saxifraga paniculata;310821-14;310821-14;Snowbed;2;0.003620907;0.2371542
Saxifraga paniculata;310821-14;310821-14;Snowbed;3;0.00360774;0.2909091
Saxifraga paniculata;310821-14;310821-14;Snowbed;4;0.003484321;0.1809524
Scilla verna;310821-06;310821-06;Fellfield;1;0.002777778;
Scilla verna;310821-06;310821-06;Fellfield;2;;
Scilla verna;310821-06;310821-06;Fellfield;3;0.002777778;1
Scilla verna;310821-06;310821-06;Fellfield;4;0.002777778;1
Scilla verna;310821-06;310821-06;Fellfield;4;;
Scilla verna;310821-06;310821-06;Snowbed;1;0.002824859;
Scilla verna;310821-06;310821-06;Snowbed;2;0.002798982;0.4545455
Scilla verna;310821-06;310821-06;Snowbed;2;;
Scilla verna;310821-06;310821-06;Snowbed;3;0.002820874;0.2666667
Scilla verna;310821-06;310821-06;Snowbed;4;0.002782415;0.8
Sedum album;cf;300821-14;300821-14;Fellfield;1;
Sedum album;cf;300821-14;300821-14;Fellfield;2;
Sedum album;cf;300821-14;300821-14;Fellfield;3;
Sedum album;cf;300821-14;300821-14;Fellfield;4;
Sedum album;cf;300821-14;300821-14;Snowbed;1;
Sedum album;cf;300821-14;300821-14;Snowbed;2;
Sedum album;cf;300821-14;300821-14;Snowbed;3;
Sedum album;cf;300821-14;300821-14;Snowbed;4;
Sedum anglicum;240821-09;240821-09;Fellfield;1;0.013015184;0.18954248
Sedum anglicum;240821-09;240821-09;Fellfield;2;0.051771117;0.62573099
Sedum anglicum;240821-09;240821-09;Fellfield;3;0.015028178;0.33333333
Sedum anglicum;240821-09;240821-09;Fellfield;4;0.029619182;0.3952381
Sedum anglicum;240821-09;240821-09;Snowbed;1;0.026890756;0.425
Sedum anglicum;240821-09;240821-09;Snowbed;2;0.012789768;0.275
Sedum anglicum;240821-09;240821-09;Snowbed;3;0.020075282;0.275
Sedum anglicum;240821-09;240821-09;Snowbed;4;0.039513678;0.38461538
Sedum anglicum;240821-09;240821-09b;Fellfield;5;0.003690037;0.25
Sedum anglicum;240821-09;240821-09b;Fellfield;6;0.004017531;0.09090909
Sedum anglicum;240821-09;240821-09b;Snowbed;5;0.002901915;0.3
Sedum anglicum;240821-09;240821-09b;Snowbed;6;0.003198976;0.11111111
Sedum anglicum;250821-09;250821-09;Fellfield;1;0.006279435;0.08333333
Sedum anglicum;250821-09;250821-09;Fellfield;2;0.011503067;0.18095238
Sedum anglicum;250821-09;250821-09;Fellfield;3;0.013661202;0.1
Sedum anglicum;250821-09;250821-09;Fellfield;4;0.00653239;0.13636364
Sedum anglicum;250821-09;250821-09;Snowbed;1;0.007250129;0.23076923
Sedum anglicum;250821-09;250821-09;Snowbed;2;0.00648415;0.19444444
Sedum anglicum;250821-09;250821-09;Snowbed;3;0.005269321;0.11111111
Sedum anglicum;250821-09;250821-09;Snowbed;4;0.01532567;0.25
Sedum brevifolium;240821-11;240821-11;Fellfield;1;0.014994233;0.37179487
Sedum brevifolium;240821-11;240821-11;Fellfield;2;0.036649215;0.47142857
Sedum brevifolium;240821-11;240821-11;Fellfield;3;0.033707865;0.33333333
Sedum brevifolium;240821-11;240821-11;Fellfield;4;0.020696143;0.38961039
Sedum brevifolium;240821-11;240821-11;Snowbed;1;0.01396348;0.34615385
Sedum brevifolium;240821-11;240821-11;Snowbed;2;0.014705882;0.38235294
Sedum brevifolium;240821-11;240821-11;Snowbed;3;0.038548753;0.36764706
Sedum brevifolium;240821-11;240821-11;Snowbed;4;0.017612524;0.39869281
Sedum brevifolium;240821-11;240821-11b;Fellfield;5;;
Sedum brevifolium;240821-11;240821-11b;Fellfield;6;0.004;
Sedum brevifolium;240821-11;240821-11b;Snowbed;5;0.003663004;
Sedum brevifolium;240821-11;240821-11b;Snowbed;6;0.002808989;
Sedum brevifolium;250821-08;250821-08;Fellfield;1;0.005405405;0.07142857
Sedum brevifolium;250821-08;250821-08;Fellfield;2;0.005354752;0.16666667
Sedum brevifolium;250821-08;250821-08;Fellfield;3;0.018218623;0.44444444
Sedum brevifolium;250821-08;250821-08;Fellfield;4;0.004255319;0
Sedum brevifolium;250821-08;250821-08;Snowbed;1;0.003474233;0.06666667
Sedum brevifolium;250821-08;250821-08;Snowbed;2;0.003826531;0.13333333
Sedum brevifolium;250821-08;250821-08;Snowbed;3;0.003496503;1
Sedum brevifolium;250821-08;250821-08;Snowbed;4;0.00534188;0.2
Sempervivum arachnoideo;230921-02;230921-02;Fellfield;1;0.004580153;0.5238095
Sempervivum arachnoideo;230921-02;230921-02;Fellfield;2;0.004549214;0.3766234
Sempervivum arachnoideo;230921-02;230921-02;Fellfield;3;0.004528613;0.3160173
Sempervivum arachnoideo;230921-02;230921-02;Fellfield;4;0.004571656;0.4031621
Sempervivum arachnoideo;230921-02;230921-02;Snowbed;1;0.003787124;0.3508772
Sempervivum arachnoideo;230921-02;230921-02;Snowbed;2;0.003810184;0.3030303
Sempervivum arachnoideo;230921-02;230921-02;Snowbed;3;0.003822169;0.3391813
Sempervivum arachnoideo;230921-02;230921-02;Snowbed;4;0.003814064;0.5416667
Sempervivum arachnoideo;230921-04;230921-04;Fellfield;1;0.0046875;0.2904762
Sempervivum arachnoideo;230921-04;230921-04;Fellfield;2;0.004684838;0.2207792
Sempervivum arachnoideo;230921-04;230921-04;Fellfield;3;0.004641664;0.29
Sempervivum arachnoideo;230921-04;230921-04;Fellfield;4;0.004628656;0.2380952
Sempervivum arachnoideo;230921-04;230921-04;Snowbed;1;0.003832886;0.3111111
Sempervivum arachnoideo;230921-04;230921-04;Snowbed;2;0.003790087;0.4358974
Sempervivum arachnoideo;230921-04;230921-04;Snowbed;3;0.003803728;0.3263158
Sempervivum arachnoideo;230921-04;230921-04;Snowbed;4;0.003852822;0.4157895
Sesleria caerula;310821-03;310821-03;Fellfield;1;0.014686248;0.48051948
Sesleria caerula;310821-03;310821-03;Fellfield;2;0.018691589;0.51633987
Sesleria caerula;310821-03;310821-03;Fellfield;3;0.031481481;0.77941176
Sesleria caerula;310821-03;310821-03;Fellfield;4;0.03202847;0.47712418
Sesleria caerula;310821-03;310821-03;Snowbed;1;0.004998334;0.08571429
Sesleria caerula;310821-03;310821-03;Snowbed;2;0.004789272;0.14285714
Sesleria caerula;310821-03;310821-03;Snowbed;3;0.005129401;0.15151515
Sesleria caerula;310821-03;310821-03;Snowbed;4;0.0066313;0.14285714
Sesleria caerula;310821-03;310821-03b;Fellfield;5;0.003974563;0.14285714
Sesleria caerula;310821-03;310821-03b;Snowbed;5;0.003472222;0.4
Silene acaulis;130921-07;130921-07;Fellfield;1;0.004049844;0.07692308
Silene acaulis;130921-07;130921-07;Fellfield;2;0.009803922;0.4
Silene acaulis;130921-07;130921-07;Fellfield;3;0.003510221;0.19852941
Silene acaulis;130921-07;130921-07;Fellfield;4;0.003976143;0.15833333
Silene acaulis;130921-07;130921-07;Snowbed;1;0.005136986;0.13333333
Silene acaulis;130921-07;130921-07;Snowbed;2;0.003726129;0.17857143
Silene acaulis;130921-07;130921-07;Snowbed;3;0.003551697;0.11111111
Silene acaulis;130921-07;130921-07;Snowbed;4;0.004;0.06666667
Silene acaulis;140921-03;140921-03;Fellfield;1;0.003344482;0.16666667
Silene acaulis;140921-03;140921-03;Fellfield;2;0.004448399;0.3
Silene acaulis;140921-03;140921-03;Fellfield;3;0.003441156;0.6
Silene acaulis;140921-03;140921-03;Fellfield;4;0.003597122;0.05555556
Silene acaulis;140921-03;140921-03;Snowbed;1;0.003448276;0.33333333
Silene acaulis;140921-03;140921-03;Snowbed;2;0.005518764;0.4
Silene acaulis;140921-03;140921-03;Snowbed;3;0.003514938;0.35555556
Silene acaulis;140921-03;140921-03;Snowbed;4;0.003343363;0.15555556
Silene ciliata;140921-09;140921-09;Fellfield;1;0.005147656;0.1812865
Silene ciliata;140921-09;140921-09;Fellfield;2;0.005876068;0.1818182
Silene ciliata;140921-09;140921-09;Fellfield;3;0.0051089;0.128655
Silene ciliata;140921-09;140921-09;Fellfield;4;0.006164828;0.128655
Silene ciliata;140921-09;140921-09;Snowbed;1;0.004151531;0.1666667
Silene ciliata;140921-09;140921-09;Snowbed;2;0.004038772;0.1619048
Silene ciliata;140921-09;140921-09;Snowbed;3;0.003875969;0.2666667
Silene ciliata;140921-09;140921-09;Snowbed;4;0.003772636;0.2190476
Silene ciliata;230921-01;230921-01;Fellfield;1;0.004379186;0.4411765
Silene ciliata;230921-01;230921-01;Fellfield;2;0.004649361;0.2101449
Silene ciliata;230921-01;230921-01;Fellfield;3;0.00482601;0.2573099
Silene ciliata;230921-01;230921-01;Fellfield;4;0.004376368;0.3623188
Silene ciliata;230921-01;230921-01;Snowbed;1;0.003744493;0.4852941
Silene ciliata;230921-01;230921-01;Snowbed;2;0.003788531;0.1904762
Silene ciliata;230921-01;230921-01;Snowbed;3;0.003831418;0.3043478
Silene ciliata;230921-01;230921-01;Snowbed;4;0.003733543;0.619883
Silene ciliata;230921-03;230921-03;Fellfield;1;0.004213187;0.1894737
Silene ciliata;230921-03;230921-03;Fellfield;2;0.004441869;0.1660079
Silene ciliata;230921-03;230921-03;Fellfield;3;0.004498426;0.1789474
Silene ciliata;230921-03;230921-03;Fellfield;4;0.004524068;0.1866667
Silene ciliata;230921-03;230921-03;Snowbed;1;0.003782506;0.5289855
Silene ciliata;230921-03;230921-03;Snowbed;2;0.004018754;0.2934783
Silene ciliata;230921-03;230921-03;Snowbed;3;0.00376707;0.5144928
Silene ciliata;230921-03;230921-03;Snowbed;4;0.003809208;0.2371542
Silene ciliata;300821-11;300821-11;Fellfield;1;0.004431599;0.2332016
Silene ciliata;300821-11;300821-11;Fellfield;2;0.004528302;0.2644928
Silene ciliata;300821-11;300821-11;Fellfield;3;0.004423148;0.2173913
Silene ciliata;300821-11;300821-11;Fellfield;4;0.004440333;0.2246377
Silene ciliata;300821-11;300821-11;Snowbed;1;0.003851709;0.1557971
Silene ciliata;300821-11;300821-11;Snowbed;2;0.003864585;0.1833333
Silene ciliata;300821-11;300821-11;Snowbed;3;0.004015392;0.2101449
Silene ciliata;300821-11;300821-11;Snowbed;4;0.003775366;0.2862319
Solidago virgaurea;240821-08;240821-08;Fellfield;1;0.023114355;0.374269
Solidago virgaurea;240821-08;240821-08;Fellfield;2;0.054755043;0.5906433
Solidago virgaurea;240821-08;240821-08;Fellfield;3;0.044397463;0.4761905
Solidago virgaurea;240821-08;240821-08;Fellfield;4;0.051948052;0.5416667
Solidago virgaurea;240821-08;240821-08;Snowbed;1;0.004380476;0.6619048
Solidago virgaurea;240821-08;240821-08;Snowbed;2;0.005010737;0.5047619
Solidago virgaurea;240821-08;240821-08;Snowbed;3;0.004573519;0.5684211
Solidago virgaurea;240821-08;240821-08;Snowbed;4;0.005287897;0.5294118
Solidago virgaurea;240821-08;240821-08b;Fellfield;5;0.004528302;0.4545455
Solidago virgaurea;240821-08;240821-08b;Fellfield;6;0.004660798;0.4052288
Solidago virgaurea;240821-08;240821-08b;Snowbed;5;0.004020814;0.2426471
Solidago virgaurea;240821-08;240821-08b;Snowbed;6;0.003988397;0.1645022
Solidago virgaurea;250821-13;250821-13;Fellfield;1;0.01171459;0.3116883
Solidago virgaurea;250821-13;250821-13;Fellfield;2;0.012077295;0.4066667
Solidago virgaurea;250821-13;250821-13;Fellfield;3;0.011057692;0.2806324
Solidago virgaurea;250821-13;250821-13;Fellfield;4;0.020793951;0.6060606
Solidago virgaurea;250821-13;250821-13;Snowbed;1;0.004455446;0.1111111
Solidago virgaurea;250821-13;250821-13;Snowbed;2;0.004310345;0.3161765
Solidago virgaurea;250821-13;250821-13;Snowbed;3;0.004946628;0.3099415
Solidago virgaurea;250821-13;250821-13;Snowbed;4;0.004151292;0.5833333
Solidago virgaurea;250821-13;250821-13b;Fellfield;5;0.00466805;0.3398693
Solidago virgaurea;250821-13;250821-13b;Fellfield;6;0.004452777;0.1871345
Solidago virgaurea;250821-13;250821-13b;Snowbed;5;0.003803185;0.225
Solidago virgaurea;250821-13;250821-13b;Snowbed;6;0.00381971;0.2190476
Spergula morisonii;150721-01;150721-01;Fellfield;1;0.006432749;0.4
Spergula morisonii;150721-01;150721-01;Fellfield;2;0.022516556;0.7794118
Spergula morisonii;150721-01;150721-01;Fellfield;3;0.023357664;0.875
Spergula morisonii;150721-01;150721-01;Fellfield;4;0.01159618;0.6764706
Spergula morisonii;150721-01;150721-01;Snowbed;1;0.021367521;0.6571429
Spergula morisonii;150721-01;150721-01;Snowbed;2;0.024390244;1
Spergula morisonii;150721-01;150721-01;Snowbed;3;0.024390244;1
Spergula morisonii;150721-01;150721-01;Snowbed;4;0.023514851;0.8947368
Spergula morisonii;150721-01;150721-01b;Fellfield;5;0.008395522;0.7908497
Spergula morisonii;150721-01;150721-01b;Fellfield;6;0.00456621;0.6444444
Spergula morisonii;150721-01;150721-01b;Snowbed;5;0.003496503;1
Spergula morisonii;150721-01;150721-01b;Snowbed;6;0.004162331;0.5
Spergula morisonii;280721-01;280721-01;Fellfield;1;0.00862069;0.6
Spergula morisonii;280721-01;280721-01;Fellfield;2;0.010130246;0.4761905
Spergula morisonii;280721-01;280721-01;Fellfield;3;0.00742115;0.5
Spergula morisonii;280721-01;280721-01;Fellfield;4;0.024390244;
Spergula morisonii;280721-01;280721-01;Snowbed;1;0.024390244;1
Spergula morisonii;280721-01;280721-01;Snowbed;2;0.019736842;0.5
Spergula morisonii;280721-01;280721-01;Snowbed;3;0.015936255;0.5
Spergula morisonii;280721-01;280721-01;Snowbed;4;0.017123288;0.4
Thymus praecox;110821-05;110821-05;Fellfield;1;0.026509573;0.3660131
Thymus praecox;110821-05;110821-05;Fellfield;2;0.012048193;0.6545455
Thymus praecox;110821-05;110821-05;Fellfield;3;0.012793177;0.3398693
Thymus praecox;110821-05;110821-05;Fellfield;4;0.012677107;0.2867647
Thymus praecox;110821-05;110821-05;Snowbed;1;0.005052724;0.1185771
Thymus praecox;110821-05;110821-05;Snowbed;2;0.007287449;0.2222222
Thymus praecox;110821-05;110821-05;Snowbed;2;;
Thymus praecox;110821-05;110821-05;Snowbed;3;0.004958305;0.1168831
Thymus praecox;110821-05;110821-05;Snowbed;4;0.00669145;0.1944444
Thymus praecox;110821-05;110821-05b;Fellfield;5;0.003993856;0.2692308
Thymus praecox;110821-05;110821-05b;Fellfield;6;0.004055881;0.1764706
Thymus praecox;110821-05;110821-05b;Snowbed;5;0.003443526;0.6571429
Thymus praecox;110821-05;110821-05b;Snowbed;6;0.003410641;0.2952381
Thymus praecox;120821-06;120821-06;Fellfield;1;0.043554007;0.48
Thymus praecox;120821-06;120821-06;Fellfield;2;0.043554007;0.48
Thymus praecox;120821-06;120821-06;Fellfield;3;0.060869565;0.6190476
Thymus praecox;120821-06;120821-06;Fellfield;4;0.042553191;0.4705882
Thymus praecox;120821-06;120821-06;Snowbed;1;0.031806616;0.4433333
Thymus praecox;120821-06;120821-06;Snowbed;2;0.024665982;0.5326087
Thymus praecox;120821-06;120821-06;Snowbed;3;0.026474128;0.3896104
Thymus praecox;120821-06;120821-06;Snowbed;4;0.010123239;0.2924901
Thymus praecox;120821-06;120821-06b;Fellfield;5;0.004133299;0.2333333
Thymus praecox;120821-06;120821-06b;Fellfield;6;0.004018999;0.2727273
Thymus praecox;120821-06;120821-06b;Snowbed;5;0.003442653;0.4210526
Thymus praecox;120821-06;120821-06b;Snowbed;6;0.003450375;0.6691176
Thymus praecox;130921-10;130921-10;Fellfield;1;0.003847798;0.1503268
Thymus praecox;130921-10;130921-10;Fellfield;2;0.005370157;0.2087912
Thymus praecox;130921-10;130921-10;Fellfield;3;0.003904344;0.1333333
Thymus praecox;130921-10;130921-10;Fellfield;4;0.005215482;0.2923977
Thymus praecox;130921-10;130921-10;Snowbed;1;0.003286096;0.2333333
Thymus praecox;130921-10;130921-10;Snowbed;2;0.003430532;0.2222222
Thymus praecox;130921-10;130921-10;Snowbed;3;0.003243037;0.2058824
Thymus praecox;130921-10;130921-10;Snowbed;4;0.003222138;0.1691176
Thymus praecox;300821-07;300821-07;Fellfield;1;0.018134715;0.647619
Thymus praecox;300821-07;300821-07;Fellfield;2;0.016231475;0.5533597
Thymus praecox;300821-07;300821-07;Fellfield;3;0.012915129;0.452381
Thymus praecox;300821-07;300821-07;Fellfield;4;0.017293233;0.6798419
Thymus praecox;300821-07;300821-07;Snowbed;1;0.003474903;0.379085
Thymus praecox;300821-07;300821-07;Snowbed;2;0.003426334;0.2333333
Thymus praecox;300821-07;300821-07;Snowbed;3;0.003470883;0.3398693
Thymus praecox;300821-07;300821-07;Snowbed;4;0.003417505;0.2614379
Thymus praecox;300821-07;300821-07b;Fellfield;5;0.004006748;0.2163743
Thymus praecox;300821-07;300821-07b;Fellfield;6;0.003960396;0.2417582
Thymus praecox;300821-07;300821-07b;Snowbed;5;0.003372113;0.1894737
Thymus praecox;300821-07;300821-07b;Snowbed;6;0.003409795;0.3376623
