species;community;family;accession;code;abundance;recolection;incubator;total_seeds;viable_seeds;viablePER;seeds_germ;germPER;autumn_germ ;spring_germ ;summer_germ ;winter_germ;t50;HS;MGT;Syn
Agrostis tileni;Mediterranean;Poaceae;250821-06;250821-06;0.43;25/08/2021;Fellfield;66;9;13.64;9;100;0;100;0;0;225.4583333;574.3333333;0.00439;0.867
Agrostis tileni;Mediterranean;Poaceae;250821-06;250821-06;0.43;25/08/2021;Snowbed;75;5;6.67;5;100;0;0;100;0;301.6666667;817.5;0.00333;1
Androsace villosa;Temperate;Primulaceae;300821-03;300821-03;0.85;30/08/2021;Fellfield;100;98;98;0;0;0;0;0;0;NA;NA;NA;NA
Androsace villosa;Temperate;Primulaceae;300821-03;300821-03;0.85;30/08/2021;Snowbed;100;99;99;0;0;0;0;0;0;NA;NA;NA;NA
Androsace villosa;Temperate;Primulaceae;310821-11;310821-11;0.85;31/08/2021;Fellfield;100;90;90;0;0;0;0;0;0;NA;NA;NA;NA
Androsace villosa;Temperate;Primulaceae;310821-11;310821-11;0.85;31/08/2021;Snowbed;100;87;87;2;2.3;0;0;2.3;0;NA;NA;0.0032;NA
Anthyllis vulneraria;Temperate;Fabaceae;300821-04;300821-04;2.71;30/08/2021;Fellfield;100;13;13;1;7.69;7.69;0;0;0;NA;NA;0.0625;NA
Anthyllis vulneraria;Temperate;Fabaceae;300821-04;300821-04;2.71;30/08/2021;Snowbed;100;35;35;2;5.71;5.71;0;0;0;NA;NA;0.0625;NA
Anthyllis vulneraria;Temperate;Fabaceae;300821-04;300821-04b;2.71;30/08/2021;Fellfield;50;44;88;0;0;0;0;0;0;NA;NA;NA;NA
Anthyllis vulneraria;Temperate;Fabaceae;300821-04;300821-04b;2.71;30/08/2021;Snowbed;49;32;65.31;1;3.12;0;3.12;0;3.12;NA;NA;0.004291845;NA
Anthyllis vulneraria;Temperate;Fabaceae;310821-12;310821-12;2.71;31/08/2021;Fellfield;100;24;24;2;8.33;4.17;0;4.17;0;NA;NA;0.006451613;0
Anthyllis vulneraria;Temperate;Fabaceae;310821-12;310821-12;2.71;31/08/2021;Snowbed;100;40;40;0;0;0;0;0;0;NA;NA;NA;NA
Anthyllis vulneraria;Temperate;Fabaceae;310821-12;310821-12b;2.71;31/08/2021;Fellfield;50;46;92;1;2.17;0;2.17;0;0;NA;NA;0.004926108;Na
Anthyllis vulneraria;Temperate;Fabaceae;310821-12;310821-12b;2.71;31/08/2021;Snowbed;50;41;82;0;0;0;0;0;0;NA;NA;NA;Na
Arenaria erinacea;Temperate;Caryophyllaceae;300821-08;300821-08;0.16;30/08/2021;Fellfield;99;97;97.98;22;22.68;22.68;0;0;0;NA;NA;0.0403;0.357
Arenaria erinacea;Temperate;Caryophyllaceae;300821-08;300821-08;0.16;30/08/2021;Snowbed;100;97;97;3;3.09;2.06;0;1.03;0;NA;NA;0.0299;NA
Arenaria moehringioides;Temperate;Caryophyllaceae;140921-02;140921-02;0.04;14/09/2021;Fellfield;60;52;86.67;24;46.15;3.85;36.54;5.77;0;272;1082.5;0.00521;0.137
Arenaria moehringioides;Temperate;Caryophyllaceae;140921-02;140921-02;0.04;14/09/2021;Snowbed;60;44;73.33;16;36.36;0;18.18;18.18;18.18;294;792;0.00402;0.194
Armeria cantabrica;Temperate;Plumbaginaceae;130921-15;130921-15;1.37;13/09/2021;Fellfield;91;71;78.02;66;92.96;1.41;36.62;54.93;0;251.9041667;836.375;0.00386;0.156
Armeria cantabrica;Temperate;Plumbaginaceae;130921-15;130921-15;1.37;13/09/2021;Snowbed;97;78;80.41;74;94.87;0;16.67;78.21;15.38;274.0069444;567;0.00356;0.17
Armeria cantabrica;Temperate;Plumbaginaceae;140921-07;140921-07;1.37;14/09/2021;Fellfield;11;4;36.36;4;100;0;75;25;0;224.5;472;0.00411;0.167
Armeria cantabrica;Temperate;Plumbaginaceae;140921-07;140921-07;1.37;14/09/2021;Snowbed;11;3;27.27;3;100;0;0;100;0;282;626.5;0.0035;0
Armeria duriaei;Mediterranean;Plumbaginaceae;240821-01;240821-01;0.88;24/08/2021;Fellfield;100;88;88;88;100;100;0;0;0;7.527402746;105.5;0.0632;0.872
Armeria duriaei;Mediterranean;Plumbaginaceae;240821-01;240821-01;0.88;24/08/2021;Snowbed;100;88;88;87;98.86;93.18;0;5.68;0;12.87441725;124.75;0.0408;0.657
Armeria duriaei;Mediterranean;Plumbaginaceae;240821-01;240821-01b;0.88;24/08/2021;Fellfield;50;46;92;46;100;50;21.74;28.26;19.57;58.953125;106.5;0.00597;0.314
Armeria duriaei;Mediterranean;Plumbaginaceae;240821-01;240821-01b;0.88;24/08/2021;Snowbed;50;45;90;45;100;0;4.44;95.56;2.22;311.75;1186.75;0.00284;0.183
Armeria duriaei;Mediterranean;Plumbaginaceae;250821-01;250821-01;0.88;25/08/2021;Fellfield;99;82;82.83;82;100;98.78;0;1.22;0;7.062280702;84.25;0.041;0.75
Armeria duriaei;Mediterranean;Plumbaginaceae;250821-01;250821-01;0.88;25/08/2021;Snowbed;99;84;84.85;83;98.81;94.05;2.38;2.38;2.38;17.53882576;137.125;0.0246;0.541
Armeria duriaei;Mediterranean;Plumbaginaceae;250821-01;250821-01b;0.88;25/08/2021;Fellfield;50;45;90;39;86.67;35.56;4.44;46.67;4.44;306.375;1797.5;0.00431;0.246
Armeria duriaei;Mediterranean;Plumbaginaceae;250821-01;250821-01b;0.88;25/08/2021;Snowbed;50;48;96;30;62.5;0;0;62.5;0;319.7727273;1293.5;0.00282;0.235
Carex sempervirens;Temperate;Cyperaceae;130921-02;130921-02;5.44;13/09/2021;Fellfield;99;66;66.67;65;98.48;0;89.39;9.09;0;241.8833333;663;0.00397;0.394
Carex sempervirens;Temperate;Cyperaceae;130921-02;130921-02;5.44;13/09/2021;Snowbed;90;73;81.11;72;98.63;0;0;98.63;0;281.925;546.75;0.00344;0.482
Carex sempervirens;Temperate;Cyperaceae;310821-13;310821-13;5.44;31/08/2021;Fellfield;100;90;90;90;100;0;93.33;6.67;0;247.8291667;725;0.00397;0.232
Carex sempervirens;Temperate;Cyperaceae;310821-13;310821-13;5.44;31/08/2021;Snowbed;99;86;86.87;86;100;0;0;100;0;283.8737041;549.875;0.00348;0.705
Cerastium ramosissimum;Mediterranean;Caryophyllaceae;150721-05;150721-05;0.04;15/07/2021;Fellfield;100;95;95;20;21.05;21.05;0;0;0;NA;NA;0.0143;1
Cerastium ramosissimum;Mediterranean;Caryophyllaceae;150721-05;150721-05;0.04;15/07/2021;Snowbed;100;98;98;20;20.41;20.41;0;0;0;NA;NA;0.014;0.7
Cerastium ramosissimum;Mediterranean;Caryophyllaceae;280721-02;280721-02;0.04;28/07/2021;Fellfield;100;88;88;74;84.09;82.95;0;1.14;0;48.83081232;800.25;0.016;0.613
Cerastium ramosissimum;Mediterranean;Caryophyllaceae;280721-02;280721-02;0.04;28/07/2021;Snowbed;100;86;86;75;87.21;87.21;0;0;0;48.04311869;755.625;0.0175;0.488
Cerastium ramosissimum;Mediterranean;Caryophyllaceae;280721-02;280721-02b;0.04;28/07/2021;Fellfield;50;46;92;40;86.96;86.96;0;0;0;11.55284043;73;0.00971;1
Cerastium ramosissimum;Mediterranean;Caryophyllaceae;280721-02;280721-02b;0.04;28/07/2021;Snowbed;50;50;100;30;60;60;0;0;0;17.00367647;53.25;0.00971;1
Conopodium majus;Mediterranean;Apiaceae;240821-03;240821-03;0.33;24/08/2021;Fellfield;99;28;28.28;27;96.43;0;96.43;0;0;212.5916667;590.375;0.00461;0.412
Conopodium majus;Mediterranean;Apiaceae;240821-03;240821-03;0.33;24/08/2021;Snowbed;100;53;53;53;100;0;98.11;1.89;98.11;242.5089286;393.5;0.0041;0.967
Conopodium majus;Mediterranean;Apiaceae;240821-03;240821-03b;0.33;24/08/2021;Fellfield;50;42;84;39;92.86;0;92.86;0;33.33;152.849359;70.75;0.0047;0.467
Conopodium majus;Mediterranean;Apiaceae;240821-03;240821-03b;0.33;24/08/2021;Snowbed;50;46;92;45;97.83;0;97.83;0;97.83;109.5095109;56;0.0041;1
Conopodium majus;Mediterranean;Apiaceae;250821-04;250821-04;0.33;25/08/2021;Fellfield;100;56;56;56;100;0;100;0;0;202.6166667;479;0.00468;0.943
Conopodium majus;Mediterranean;Apiaceae;250821-04;250821-04;0.33;25/08/2021;Snowbed;100;64;64;63;98.44;0;98.44;0;98.44;235.5083333;315;0.00412;1
Dethawia splendens;Temperate;Apiaceae;310821-07;310821-07;0.18;31/08/2021;Fellfield;79;59;74.68;56;94.92;0;94.92;0;0;212.93125;457.625;0.00461;0.237
Dethawia splendens;Temperate;Apiaceae;310821-07;310821-07;0.18;31/08/2021;Snowbed;76;49;64.47;49;100;0;97.96;2.04;91.84;230.4323427;251.875;0.00428;0.596
Dianthus langeanus;Mediterranean;Caryophyllaceae;110821-01;110821-01;3.79;11/08/2021;Fellfield;100;99;99;99;100;98.99;1.01;0;0;3.706715839;58;0.0982;0.757
Dianthus langeanus;Mediterranean;Caryophyllaceae;110821-01;110821-01;3.79;11/08/2021;Snowbed;100;95;95;95;100;100;0;0;0;3.270833333;47;0.132;0.871
Dianthus langeanus;Mediterranean;Caryophyllaceae;110821-01;110821-01b;3.79;11/08/2021;Fellfield;50;50;100;50;100;90;10;0;2;11.2734375;73;0.124;0.822
Dianthus langeanus;Mediterranean;Caryophyllaceae;110821-01;110821-01b;3.79;11/08/2021;Snowbed;50;49;98;49;100;2.04;97.96;0;61.22;174.1488782;73;0.0389;0.391
Dianthus langeanus;Mediterranean;Caryophyllaceae;120821-02;120821-02;3.79;12/08/2021;Fellfield;100;99;99;99;100;100;0;0;0;3.715710812;54;0.0981;0.725
Dianthus langeanus;Mediterranean;Caryophyllaceae;120821-02;120821-02;3.79;12/08/2021;Snowbed;100;97;97;97;100;94.85;5.15;0;5.15;7.501190476;93.5;0.0555;0.522
Dianthus langeanus;Mediterranean;Caryophyllaceae;120821-02;120821-02b;3.79;12/08/2021;Fellfield;49;48;97.96;48;100;72.92;27.08;0;2.08;13.73771106;83;0.00902;0.542
Dianthus langeanus;Mediterranean;Caryophyllaceae;120821-02;120821-02b;3.79;12/08/2021;Snowbed;50;49;98;49;100;8.16;89.8;2.04;46.94;175.4079098;80.75;0.00406;0.338
Erigeron alpinus;Temperate;Asteraceae;310821-15;310821-15;0.04;31/08/2021;Fellfield;100;98;98;98;100;0;100;0;0;219.75;463.875;0.00448;0.291
Erigeron alpinus;Temperate;Asteraceae;310821-15;310821-15;0.04;31/08/2021;Snowbed;100;99;99;99;100;0;41.41;58.59;3.03;261.6426471;325.125;0.00377;0.411
Euphrasia salisburgensis;Temperate;Orobanchaceae;011021-01;011021-01;0.04;01/10/2021;Fellfield;100;100;100;1;1;0;1;0;0;NA;NA;0.004950495;NA
Euphrasia salisburgensis;Temperate;Orobanchaceae;011021-01;011021-01;0.04;01/10/2021;Snowbed;100;100;100;1;1;0;1;0;1;NA;NA;0.004739336;NA
Euphrasia salisburgensis;Temperate;Orobanchaceae;300921-01;300921-01;0.04;30/09/2021;Fellfield;100;96;96;2;2.08;0;0;2.08;0;NA;NA;0.002932551;NA
Euphrasia salisburgensis;Temperate;Orobanchaceae;300921-01;300921-01;0.04;30/09/2021;Snowbed;100;99;99;0;0;0;0;0;0;NA;NA;NA;NA
Festuca hystrix;Temperate;Poaceae;130921-16;130921-16;0.43;13/09/2021;Fellfield;20;17;85;17;100;94.12;5.88;0;0;19.52083333;169.5;0.0187;0.772
Festuca hystrix;Temperate;Poaceae;130921-16;130921-16;0.43;13/09/2021;Snowbed;20;19;95;14;73.68;42.11;15.79;15.79;15.79;217;161;0.0695;0.341
Festuca hystrix;Temperate;Poaceae;300821-01;300821-01;0.43;30/08/2021;Fellfield;14;8;57.14;8;100;100;0;0;0;10.66666667;120;0.0482;0.571
Festuca hystrix;Temperate;Poaceae;300821-01;300821-01;0.43;30/08/2021;Snowbed;14;4;28.57;4;100;100;0;0;0;28.66666667;195;0.0261;0.5
Festuca rubra;Temperate;Poaceae;310821-02;310821-02;2.12;31/08/2021;Fellfield;25;1;4;1;100;0;100;0;0;239.5;648;0.004115226;NA
Festuca summilusitana;Mediterranean;Poaceae;240821-02;240821-02;20.26;24/08/2021;Fellfield;100;59;59;59;100;100;0;0;0;14.32756133;174.75;0.0417;0.492
Festuca summilusitana;Mediterranean;Poaceae;240821-02;240821-02;20.26;24/08/2021;Snowbed;99;59;59.6;59;100;98.31;1.69;0;1.69;22.23755656;180;0.0294;0.69
Festuca summilusitana;Mediterranean;Poaceae;240821-02;240821-02b;20.26;24/08/2021;Fellfield;50;43;86;42;97.67;11.63;81.4;4.65;74.42;97.06912112;129;0.00522;0.578
Festuca summilusitana;Mediterranean;Poaceae;240821-02;240821-02b;20.26;24/08/2021;Snowbed;50;41;82;35;85.37;0;75.61;9.76;75.61;141.3092174;73;0.00398;0.779
Festuca summilusitana;Mediterranean;Poaceae;250821-02;250821-02;20.26;25/08/2021;Fellfield;100;42;42;42;100;100;0;0;0;22.47727273;264.375;0.0289;0.6
Festuca summilusitana;Mediterranean;Poaceae;250821-02;250821-02;20.26;25/08/2021;Snowbed;98;48;48.98;48;100;91.67;2.08;6.25;2.08;24.03084416;184.5;0.0184;0.623
Festuca summilusitana;Mediterranean;Poaceae;250821-02;250821-02b;20.26;25/08/2021;Fellfield;50;39;78;35;89.74;2.56;79.49;7.69;76.92;109.4326389;115;0.00479;0.745
Festuca summilusitana;Mediterranean;Poaceae;250821-02;250821-02b;20.26;25/08/2021;Snowbed;50;39;78;33;84.62;0;74.36;10.26;74.36;142.449504;73;0.00396;0.765
Gentiana verna;Temperate;Gentianaceae;130921-06;130921-06;0.1;13/09/2021;Fellfield;100;56;56;9;16.07;0;16.07;0;0;NA;NA;0.00453;0.55
Gentiana verna;Temperate;Gentianaceae;130921-06;130921-06;0.1;13/09/2021;Snowbed;98;68;69.39;11;16.18;0;14.71;1.47;13.24;NA;NA;0.0042;0.5
Gentiana verna;Temperate;Gentianaceae;140921-06;140921-06;0.1;14/09/2021;Fellfield;99;75;75.76;1;1.33;0;1.33;0;0;NA;NA;0.004219409;NA
Gentiana verna;Temperate;Gentianaceae;140921-06;140921-06;0.1;14/09/2021;Snowbed;100;78;78;1;1.28;0;1.28;0;1.28;NA;NA;0.004444444;NA
Gentianella campestris;Temperate;Gentianaceae;300921-03;300921-03;0.01;30/09/2021;Fellfield;100;97;97;0;0;0;0;0;0;NA;NA;NA;NA
Gentianella campestris;Temperate;Gentianaceae;300921-03;300921-03;0.01;30/09/2021;Snowbed;100;100;100;0;0;0;0;0;0;NA;NA;NA;NA
Gypsophila repens;Temperate;Caryophyllaceae;300821-10;300821-10;0.32;30/08/2021;Fellfield;98;58;59.18;54;93.1;20.69;63.79;8.62;0;234.0625;600.125;0.00517;0.179
Gypsophila repens;Temperate;Caryophyllaceae;300821-10;300821-10;0.32;30/08/2021;Snowbed;98;73;74.49;73;100;0;0;100;0;286.5925245;580;0.00345;0.542
Gypsophila repens;Temperate;Caryophyllaceae;310821-08;310821-08;0.32;31/08/2021;Fellfield;100;92;92;91;98.91;14.13;77.17;7.61;0;226.4583333;531.875;0.00488;0.267
Gypsophila repens;Temperate;Caryophyllaceae;310821-08;310821-08;0.32;31/08/2021;Snowbed;100;95;95;92;96.84;2.11;6.32;88.42;4.21;277.0348402;466.25;0.00361;0.25
Helianthemum canum;Temperate;Cistaceae;300821-05;300821-05;2.29;30/08/2021;Fellfield;100;87;87;35;40.23;26.44;10.34;3.45;0;279;1245;0.0106;0.327
Helianthemum canum;Temperate;Cistaceae;300821-05;300821-05;2.29;30/08/2021;Snowbed;100;77;77;24;31.17;15.58;3.9;11.69;0;NA;NA;0.00663;0.1
Helianthemum canum;Temperate;Cistaceae;310821-05;310821-05;2.29;31/08/2021;Fellfield;100;78;78;14;17.95;11.54;1.28;5.13;0;NA;NA;0.0242;0.325
Helianthemum canum;Temperate;Cistaceae;310821-05;310821-05;2.29;31/08/2021;Snowbed;100;82;82;10;12.2;4.88;4.88;2.44;3.66;NA;NA;0.0079;0.233
Helianthemum urrielense;Temperate;Cistaceae;130921-05;130921-05;2.48;13/09/2021;Fellfield;100;16;16;6;37.5;31.25;0;6.25;0;15;161;0.0198;0.5
Helianthemum urrielense;Temperate;Cistaceae;130921-05;130921-05;2.48;13/09/2021;Snowbed;99;10;10.1;5;50;50;0;0;0;16;105.5;0.0667;1
Helianthemum urrielense;Temperate;Cistaceae;130921-05;130921-05b;2.48;13/09/2021;Fellfield;50;32;64;26;81.25;0;65.62;15.62;21.88;190.8;234.75;0.00456;0.217
Helianthemum urrielense;Temperate;Cistaceae;130921-05;130921-05b;2.48;13/09/2021;Snowbed;50;32;64;28;87.5;0;65.62;21.88;62.5;159.1146886;49;0.00408;0.499
Helianthemum urrielense;Temperate;Cistaceae;140921-04;140921-04;2.48;14/09/2021;Fellfield;98;9;9.18;9;100;100;0;0;0;11.63020833;109.625;0.341;0.15
Helianthemum urrielense;Temperate;Cistaceae;140921-04;140921-04;2.48;14/09/2021;Snowbed;100;7;7;7;100;100;0;0;0;13.51041667;76.5;0.0294;1
Helianthemum urrielense;Temperate;Cistaceae;140921-04;140921-04b;2.48;14/09/2021;Fellfield;50;4;8;3;75;75;0;0;0;10.53125;56.25;0.238;1
Helianthemum urrielense;Temperate;Cistaceae;140921-04;140921-04b;2.48;14/09/2021;Snowbed;25;3;12;3;100;0;100;0;100;105.5208333;49;0.00444;1
Helictochloa marginata;Mediterranean;Poaceae;240821-06;240821-06;0.41;24/08/2021;Fellfield;30;4;13.33;4;100;25;75;0;0;142.75;582.25;0.00541;0.5
Helictochloa marginata;Mediterranean;Poaceae;240821-06;240821-06;0.41;24/08/2021;Snowbed;30;5;16.67;5;100;20;20;60;20;165.6770833;432.5;0.00358;0.5
Helictotrichon sedenense;Temperate;Poaceae;300821-09;300821-09;1.04;30/08/2021;Fellfield;93;14;15.05;14;100;7.14;92.86;0;0;229.5625;568.25;0.00471;0.5
Helictotrichon sedenense;Temperate;Poaceae;300821-09;300821-09;1.04;30/08/2021;Snowbed;94;20;21.28;20;100;0;85;15;85;231.58125;277;0.00419;0.769
Iberis carnosa;Temperate;Brassicaceae;130921-12;130921-12;0.09;13/09/2021;Fellfield;100;94;94;86;91.49;76.6;2.13;12.77;0;9.562956871;97.75;0.0185;0.647
Iberis carnosa;Temperate;Brassicaceae;130921-12;130921-12;0.09;13/09/2021;Snowbed;100;91;91;90;98.9;16.48;0;82.42;0;311.6736111;1005.875;0.00375;0.154
Iberis carnosa;Temperate;Brassicaceae;130921-12;130921-12b;0.09;13/09/2021;Fellfield;25;25;100;20;80;0;4;76;4;265.75;1151.5;0.00346;0.0842
Jasione cavanillesii;Temperate;Campanulaceae;130921-14;130921-14;0.04;13/09/2021;Fellfield;60;35;58.33;20;57.14;0;54.29;2.86;0;226.25;491.5;0.00445;0.0995
Jasione cavanillesii;Temperate;Campanulaceae;130921-14;130921-14;0.04;13/09/2021;Snowbed;60;31;51.67;15;48.39;0;3.23;45.16;0;272.2916667;474.25;0.00371;0.289
Jasione cavanillesii;Temperate;Campanulaceae;140921-05;140921-05;0.04;14/09/2021;Fellfield;45;28;62.22;0;0;0;0;0;0;NA;NA;NA;NA
Jasione cavanillesii;Temperate;Campanulaceae;140921-05;140921-05;0.04;14/09/2021;Snowbed;45;16;35.56;1;6.25;0;0;6.25;0;NA;NA;0.003289474;NA
Jurinea humilis;Mediterranean;Asteraceae;110821-06;110821-06;0.41;11/08/2021;Fellfield;65;16;24.62;16;100;75;25;0;0;9.4875;141.5;0.021;0.244
Jurinea humilis;Mediterranean;Asteraceae;110821-06;110821-06;0.41;11/08/2021;Snowbed;50;10;20;10;100;0;100;0;100;246.5;445.5;0.00405;1
Jurinea humilis;Mediterranean;Asteraceae;110821-06;110821-06b;0.41;11/08/2021;Fellfield;35;33;94.29;31;93.94;0;84.85;9.09;0;178.1875;133;0.00421;0.227
Jurinea humilis;Mediterranean;Asteraceae;110821-06;110821-06b;0.41;11/08/2021;Snowbed;25;20;80;20;100;0;85;15;70;178.2877604;62.75;0.00381;0.319
Jurinea humilis;Mediterranean;Asteraceae;120821-03;120821-03;0.41;12/08/2021;Fellfield;73;18;24.66;18;100;88.89;11.11;0;0;9.933333333;141;0.037;0.357
Jurinea humilis;Mediterranean;Asteraceae;120821-03;120821-03;0.41;12/08/2021;Snowbed;23;1;4.35;1;100;0;100;0;100;246.5;445.5;0.004048583;NA
Jurinea humilis;Mediterranean;Asteraceae;120821-03;120821-03b;0.41;12/08/2021;Fellfield;44;36;81.82;36;100;0;97.22;2.78;0;168.3529412;92.5;0.00445;0.2
Jurinea humilis;Mediterranean;Asteraceae;120821-03;120821-03b;0.41;12/08/2021;Snowbed;36;30;83.33;30;100;0;100;0;60;211.3333333;63.5;0.00379;0.277
Jurinea humilis;Temperate;Asteraceae;310821-01;310821-01;0.27;31/08/2021;Fellfield;50;7;14;7;100;42.86;57.14;0;0;119.5833333;376.25;0.0732;0.25
Jurinea humilis;Temperate;Asteraceae;310821-01;310821-01;0.27;31/08/2021;Snowbed;100;30;30;30;100;0;100;0;100;230.5;268.5;0.00405;1
Jurinea humilis;Temperate;Asteraceae;310821-01;310821-01b;0.27;31/08/2021;Fellfield;24;15;62.5;15;100;0;100;0;0;171.7833333;96;0.0044;0.524
Jurinea humilis;Temperate;Asteraceae;310821-01;310821-01b;0.27;31/08/2021;Snowbed;27;18;66.67;18;100;0;94.44;5.56;77.78;152.5672619;49;0.00392;0.441
Kobresia myosuroides;Temperate;Cyperaceae;130921-03;130921-03;0.01;13/09/2021;Fellfield;100;39;39;0;0;0;0;0;0;NA;NA;NA;NA
Kobresia myosuroides;Temperate;Cyperaceae;130921-03;130921-03;0.01;13/09/2021;Snowbed;100;26;26;0;0;0;0;0;0;NA;NA;NA;NA
Kobresia myosuroides;Temperate;Cyperaceae;130921-03;130921-03b;0.01;13/09/2021;Fellfield;50;45;90;0;0;0;0;0;0;NA;NA;NA;NA
Kobresia myosuroides;Temperate;Cyperaceae;130921-03;130921-03b;0.01;13/09/2021;Snowbed;50;47;94;0;0;0;0;0;0;NA;NA;NA;NA
Koeleria vallesiana;Temperate;Poaceae;300821-02;300821-02;1.76;30/08/2021;Fellfield;100;80;80;80;100;100;0;0;0;8.222222222;97;0.0608;0.953
Koeleria vallesiana;Temperate;Poaceae;300821-02;300821-02;1.76;30/08/2021;Snowbed;100;49;49;48;97.96;83.67;12.24;2.04;12.24;28.82094017;196.125;0.0156;0.543
Koeleria vallesiana;Temperate;Poaceae;300821-02;300821-02b;1.76;30/08/2021;Fellfield;50;47;94;44;93.62;2.13;85.11;6.38;65.96;119.2874566;51;0.00485;0.49
Koeleria vallesiana;Temperate;Poaceae;300821-02;300821-02b;1.76;30/08/2021;Snowbed;50;46;92;43;93.48;0;80.43;13.04;76.09;140.8056548;49;0.00413;0.63
Koeleria vallesiana;Temperate;Poaceae;310821-09;310821-09;1.76;31/08/2021;Fellfield;99;66;66.67;66;100;100;0;0;0;16.04444444;167;0.0334;0.529
Koeleria vallesiana;Temperate;Poaceae;310821-09;310821-09;1.76;31/08/2021;Snowbed;99;69;69.7;69;100;81.16;10.14;8.7;10.14;31.23541667;175.75;0.0133;0.385
Koeleria vallesiana;Temperate;Poaceae;310821-09;310821-09b;1.76;31/08/2021;Fellfield;50;45;90;44;97.78;0;93.33;4.44;64.44;125.5569444;39;0.00473;0.456
Koeleria vallesiana;Temperate;Poaceae;310821-09;310821-09b;1.76;31/08/2021;Snowbed;49;44;89.8;43;97.73;0;43.18;54.55;38.64;221.2;134;0.00377;0.141
Luzula caespitosa;Mediterranean;Juncaceae;110821-03;110821-03;15.35;11/08/2021;Fellfield;100;31;31;27;87.1;70.97;9.68;6.45;0;32.82142857;416;0.014;0.456
Luzula caespitosa;Mediterranean;Juncaceae;110821-03;110821-03;15.35;11/08/2021;Snowbed;100;25;25;23;92;0;92;0;92;245.5669643;432.5;0.00406;0.938
