species;code;incubator;petridish;total;viable;viablePER;seeds_germ;germPER;Mid_nov;Winter_germ;spring_germ;summer_germ;Mid_june;Mid_sep;datesow;datelast;t50lm;date50;HS;coldstratgerm;Uncertainty
Agrostis tileni;250821-06;Fellfield;2;22;2;9.09;2;100;0;0;100;0;100;0;20/09/2021;25/04/2022;213.5;20/04/2022;496.5;100;0
Agrostis tileni;250821-06;Fellfield;3;22;5;22.73;5;100;0;0;100;0;100;0;20/09/2021;02/05/2022;214.375;21/04/2022;501;100;0.721
Agrostis tileni;250821-06;Fellfield;4;22;2;9.09;2;100;0;0;100;0;100;0;20/09/2021;30/05/2022;248.5;25/05/2022;744;100;0
Agrostis tileni;250821-06;Snowbed;1;25;1;4;1;100;0;0;100;0;0;100;20/09/2021;23/06/2022;272;18/06/2022;410;100;0
Agrostis tileni;250821-06;Snowbed;3;25;1;4;1;100;0;0;0;0;0;100;20/09/2021;19/09/2022;361;15/09/2022;1634.5;100;0
Agrostis tileni;250821-06;Snowbed;4;25;3;12;3;100;0;0;100;0;0;100;20/09/2021;23/06/2022;272;18/06/2022;410;100;0
Androsace villosa;300821-03;Fellfield;1;25;24;96;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;300821-03;Fellfield;2;25;25;100;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;300821-03;Fellfield;3;25;25;100;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;300821-03;Fellfield;4;25;24;96;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;300821-03;Snowbed;1;25;25;100;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;300821-03;Snowbed;2;25;24;96;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;300821-03;Snowbed;3;25;25;100;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;300821-03;Snowbed;4;25;25;100;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;310821-11;Fellfield;1;25;23;92;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;310821-11;Fellfield;2;25;22;88;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;310821-11;Fellfield;3;25;22;88;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;310821-11;Fellfield;4;25;23;92;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;310821-11;Snowbed;1;25;22;88;1;4.55;0;0;0;4.55;0;4.55;24/09/2021;19/09/2022;NA;NA;NA;100;0
Androsace villosa;310821-11;Snowbed;2;25;22;88;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;310821-11;Snowbed;3;25;22;88;1;4.55;0;0;0;4.55;0;4.55;24/09/2021;19/09/2022;NA;NA;NA;100;0
Androsace villosa;310821-11;Snowbed;4;25;21;84;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;300821-04;Fellfield;1;25;3;12;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;300821-04;Fellfield;2;25;3;12;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;300821-04;Fellfield;3;25;4;16;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;300821-04;Fellfield;4;25;3;12;1;33.33;33.33;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;300821-04;Snowbed;1;25;7;28;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;300821-04;Snowbed;2;25;8;32;1;12.5;12.5;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;300821-04;Snowbed;3;25;13;52;1;7.69;7.69;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;300821-04;Snowbed;4;25;7;28;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;310821-12;Fellfield;1;25;7;28;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;310821-12;Fellfield;2;25;6;24;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;310821-12;Fellfield;3;25;6;24;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;310821-12;Fellfield;4;25;5;20;2;40;20;0;0;20;0;20;24/09/2021;19/09/2022;NA;NA;NA;50;1
Anthyllis vulneraria;310821-12;Snowbed;1;25;14;56;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;310821-12;Snowbed;2;25;5;20;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;310821-12;Snowbed;3;25;11;44;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;310821-12;Snowbed;4;25;10;40;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Arenaria erinacea;300821-08;Fellfield;1;25;25;100;7;28;28;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0.985
Arenaria erinacea;300821-08;Fellfield;2;25;24;96;6;25;25;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;1.459
Arenaria erinacea;300821-08;Fellfield;3;24;23;95.83;5;21.74;21.74;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0.971
Arenaria erinacea;300821-08;Fellfield;4;25;25;100;4;16;16;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;1
Arenaria erinacea;300821-08;Snowbed;1;25;24;96;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Arenaria erinacea;300821-08;Snowbed;2;25;25;100;1;4;0;0;0;4;0;4;24/09/2021;19/09/2022;NA;NA;NA;100;0
Arenaria erinacea;300821-08;Snowbed;3;25;25;100;1;4;4;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Arenaria erinacea;300821-08;Snowbed;4;25;23;92;1;4.35;4.35;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Arenaria moehringioides;140921-02;Fellfield;1;20;19;95;9;47.37;0;0;36.84;10.53;42.11;5.26;06/10/2021;19/09/2022;NA;NA;NA;100;2.503
Arenaria moehringioides;140921-02;Fellfield;2;20;18;90;9;50;0;0;38.89;11.11;38.89;11.11;06/10/2021;19/09/2022;272;04/07/2022;1076.5;100;2.059
Arenaria moehringioides;140921-02;Fellfield;3;20;15;75;6;40;13.33;0;26.67;0;26.67;0;06/10/2021;19/09/2022;NA;NA;NA;66.68;1.918
Arenaria moehringioides;140921-02;Snowbed;1;20;14;70;6;42.86;0;21.43;7.14;21.43;0;21.43;06/10/2021;19/09/2022;NA;NA;NA;100;1.792
Arenaria moehringioides;140921-02;Snowbed;2;20;16;80;3;18.75;0;12.5;6.25;6.25;0;6.25;06/10/2021;19/09/2022;NA;NA;NA;100;0.918
Arenaria moehringioides;140921-02;Snowbed;3;20;14;70;7;50;0;21.43;7.14;28.57;0;28.57;06/10/2021;19/09/2022;294;26/07/2022;783.5;100;2.522
Armeria cantabrica;130921-15;Fellfield;1;25;21;84;17;80.95;4.76;0;9.52;61.9;19.05;57.14;05/10/2021;19/09/2022;281.1666667;12/07/2022;1223.5;94.12;3.293
Armeria cantabrica;130921-15;Fellfield;2;21;17;80.95;17;100;0;0;29.41;58.82;29.41;70.59;18/10/2021;19/09/2022;241.8;15/06/2022;674.5;100;1.736
Armeria cantabrica;130921-15;Fellfield;3;22;17;77.27;17;100;0;0;58.82;70.59;70.59;29.41;18/10/2021;15/08/2022;222.9;27/05/2022;452.5;100;2.89
Armeria cantabrica;130921-15;Fellfield;4;23;16;69.57;15;93.75;0;0;25;75;31.25;62.5;18/10/2021;19/09/2022;261.75;05/07/2022;972;100;2.923
Armeria cantabrica;130921-15;Snowbed;1;25;23;92;22;95.65;0;34.78;4.35;43.48;4.35;56.52;05/10/2021;19/09/2022;273.8333333;04/07/2022;468.5;100;2.607
Armeria cantabrica;130921-15;Snowbed;2;24;19;79.17;19;100;0;0;5.26;89.47;0;100;18/10/2021;13/09/2022;285;29/07/2022;753;100;2.866
Armeria cantabrica;130921-15;Snowbed;3;23;19;82.61;16;84.21;0;5.26;0;78.95;0;78.95;18/10/2021;19/09/2022;280.25;24/07/2022;675.5;100;2.656
Armeria cantabrica;130921-15;Snowbed;4;25;17;68;17;100;0;17.65;17.65;76.47;0;82.35;18/10/2021;13/09/2022;256.9444444;30/06/2022;335;100;2.012
Armeria cantabrica;140921-07;Fellfield;1;11;4;36.36;4;100;0;0;75;25;75;25;08/10/2021;19/07/2022;224.5;19/05/2022;473.5;100;1.5
Armeria cantabrica;140921-07;Snowbed;1;11;3;27.27;3;100;0;0;0;100;0;100;08/10/2021;27/07/2022;282;16/07/2022;618.5;100;1.585
Armeria duriaei;240821-01;Fellfield;1;25;22;88;22;100;100;0;0;0;0;0;10/09/2021;05/11/2021;8.105263158;17/09/2021;118;0;0.7
Armeria duriaei;240821-01;Fellfield;2;25;22;88;22;100;100;0;0;0;0;0;10/09/2021;18/10/2021;7.7;16/09/2021;104;0;0.439
Armeria duriaei;240821-01;Fellfield;3;25;24;96;24;100;100;0;0;0;0;0;10/09/2021;18/10/2021;7.304347826;16/09/2021;104;0;0.25
Armeria duriaei;240821-01;Fellfield;4;25;20;80;20;100;100;0;0;0;0;0;10/09/2021;24/09/2021;7;16/09/2021;104;0;0
Armeria duriaei;240821-01;Snowbed;1;25;21;84;20;95.24;80.95;0;0;9.52;0;14.29;10/09/2021;19/09/2022;25;04/10/2021;231.5;15;1.59
Armeria duriaei;240821-01;Snowbed;2;25;22;88;22;100;90.91;0;0;0;0;9.09;10/09/2021;19/09/2022;11.84615385;20/09/2021;121;9.09;1.477
Armeria duriaei;240821-01;Snowbed;3;25;23;92;23;100;100;0;0;0;0;0;10/09/2021;18/10/2021;7.318181818;16/09/2021;81;0;0.258
Armeria duriaei;240821-01;Snowbed;4;25;22;88;22;100;100;0;0;0;0;0;10/09/2021;18/10/2021;7.333333333;16/09/2021;81;0;0.267
Armeria duriaei;250821-01;Fellfield;1;25;19;76;19;100;100;0;0;0;0;0;17/09/2021;19/10/2021;7.6;23/09/2021;92;0;0.742
Armeria duriaei;250821-01;Fellfield;2;25;20;80;20;100;100;0;0;0;0;0;17/09/2021;19/10/2021;6.315789474;22/09/2021;79.5;0;0.286
Armeria duriaei;250821-01;Fellfield;3;24;20;83.33;20;100;95;0;0;5;0;5;17/09/2021;08/08/2022;6.666666667;22/09/2021;79.5;5;0.569
Armeria duriaei;250821-01;Fellfield;4;25;23;92;23;100;100;0;0;0;0;0;17/09/2021;19/10/2021;7.666666667;23/09/2021;92;0;0.755
Armeria duriaei;250821-01;Snowbed;1;25;18;72;17;94.44;77.78;11.11;0;5.56;0;5.56;17/09/2021;19/09/2022;28.36363636;14/10/2021;216.5;17.64;1.452
Armeria duriaei;250821-01;Snowbed;2;24;20;83.33;20;100;95;0;0;0;0;5;17/09/2021;19/09/2022;7.5;23/09/2021;65.5;5;0.884
Armeria duriaei;250821-01;Snowbed;3;25;23;92;23;100;100;0;0;0;0;0;17/09/2021;19/10/2021;16.66666667;02/10/2021;136;0;0.932
Armeria duriaei;250821-01;Snowbed;4;25;23;92;23;100;100;0;0;0;0;0;17/09/2021;19/10/2021;17.625;03/10/2021;143.5;0;0.887
Carex sempervirens;130921-02;Fellfield;1;25;20;80;20;100;0;0;20;80;85;15;28/09/2021;04/07/2022;248.2;02/06/2022;729;100;1.923
Carex sempervirens;130921-02;Fellfield;2;25;20;80;20;100;0;0;50;50;95;5;28/09/2021;21/06/2022;237;22/05/2022;615;100;1.461
Carex sempervirens;130921-02;Fellfield;3;25;14;56;13;92.86;0;0;28.57;64.29;92.86;0;28/09/2021;19/09/2022;246.3333333;31/05/2022;707;100;0.89
Carex sempervirens;130921-02;Fellfield;4;24;12;50;12;100;0;0;58.33;41.67;83.33;16.67;28/09/2021;11/07/2022;236;21/05/2022;605.5;100;1.551
Carex sempervirens;130921-02;Snowbed;1;25;21;84;21;100;0;0;0;100;0;100;28/09/2021;27/07/2022;279.9;03/07/2022;507;100;1.28
Carex sempervirens;130921-02;Snowbed;2;25;20;80;20;100;0;0;0;100;0;100;28/09/2021;20/07/2022;282;06/07/2022;547.5;100;1.361
Carex sempervirens;130921-02;Snowbed;3;23;20;86.96;20;100;0;0;0;100;0;100;28/09/2021;20/07/2022;284.8;08/07/2022;574.5;100;0.992
Carex sempervirens;130921-02;Snowbed;4;17;12;70.59;11;91.67;0;0;0;91.67;0;91.67;28/09/2021;19/09/2022;281;05/07/2022;534;100;1.241
Carex sempervirens;310821-13;Fellfield;1;25;24;96;24;100;0;0;41.67;58.33;83.33;16.67;24/09/2021;04/07/2022;250;31/05/2022;756;100;2.517
Carex sempervirens;310821-13;Fellfield;2;25;22;88;22;100;0;0;54.55;45.45;95.45;4.55;24/09/2021;21/06/2022;246.8333333;27/05/2022;714;100;2.065
Carex sempervirens;310821-13;Fellfield;3;25;25;100;25;100;0;0;48;52;96;4;24/09/2021;21/06/2022;248.5833333;29/05/2022;734;100;2.072
Carex sempervirens;310821-13;Fellfield;4;25;19;76;19;100;0;0;57.89;42.11;100;0;24/09/2021;06/06/2022;245.9;26/05/2022;704;100;1.557
Carex sempervirens;310821-13;Snowbed;1;25;23;92;23;100;0;0;0;100;0;100;24/09/2021;13/07/2022;281.8333333;01/07/2022;516;100;0.426
Carex sempervirens;310821-13;Snowbed;2;25;18;72;18;100;0;0;0;100;0;100;24/09/2021;20/07/2022;290;10/07/2022;634.5;100;1.542
Carex sempervirens;310821-13;Snowbed;3;25;25;100;25;100;0;0;0;100;0;100;24/09/2021;20/07/2022;281.9772727;01/07/2022;516;100;0.064
Carex sempervirens;310821-13;Snowbed;4;24;20;83.33;20;100;0;0;0;100;0;100;24/09/2021;20/07/2022;281.6842105;01/07/2022;516;100;0.286
Cerastium sp;150721-05;Fellfield;1;25;25;100;6;24;24;0;0;0;0;0;30/07/2021;19/09/2022;NA;NA;NA;0;0
Cerastium sp;150721-05;Fellfield;2;25;21;84;3;14.29;14.29;0;0;0;0;0;30/07/2021;19/09/2022;NA;NA;NA;0;0
Cerastium sp;150721-05;Fellfield;3;25;24;96;3;12.5;12.5;0;0;0;0;0;30/07/2021;19/09/2022;NA;NA;NA;0;0
Cerastium sp;150721-05;Fellfield;4;25;25;100;8;32;32;0;0;0;0;0;30/07/2021;19/09/2022;NA;NA;NA;0;0
Cerastium sp;150721-05;Snowbed;1;25;25;100;5;20;20;0;0;0;0;0;30/07/2021;19/09/2022;NA;NA;NA;0;0
Cerastium sp;150721-05;Snowbed;2;25;25;100;5;20;20;0;0;0;0;0;30/07/2021;19/09/2022;NA;NA;NA;0;0.971
Cerastium sp;150721-05;Snowbed;3;25;25;100;4;16;16;0;0;0;0;0;30/07/2021;19/09/2022;NA;NA;NA;0;0
Cerastium sp;150721-05;Snowbed;4;25;23;92;6;26.09;26.09;0;0;0;0;0;30/07/2021;19/09/2022;NA;NA;NA;0;1
Cerastium sp;280721-02;Fellfield;1;25;24;96;20;83.33;83.33;0;0;0;0;0;30/07/2021;19/09/2022;54.53333333;21/09/2021;881;0;0.811
Cerastium sp;280721-02;Fellfield;2;25;24;96;19;79.17;75;0;0;0;0;4.17;30/07/2021;19/09/2022;41;08/09/2021;694;5.27;1.167
Cerastium sp;280721-02;Fellfield;3;25;22;88;17;77.27;77.27;0;0;0;0;0;30/07/2021;19/09/2022;45.14285714;12/09/2021;758;0;0.977
Cerastium sp;280721-02;Fellfield;4;25;18;72;18;100;100;0;0;0;0;0;30/07/2021;08/10/2021;54.64705882;21/09/2021;881;0;0.31
Cerastium sp;280721-02;Snowbed;1;25;23;92;17;73.91;73.91;0;0;0;0;0;30/07/2021;19/09/2022;52.27777778;19/09/2021;810.5;0;0.998
Cerastium sp;280721-02;Snowbed;2;25;20;80;20;100;100;0;0;0;0;0;30/07/2021;08/10/2021;43.63636364;10/09/2021;711;0;0.993
Cerastium sp;280721-02;Snowbed;3;25;24;96;20;83.33;83.33;0;0;0;0;0;30/07/2021;19/09/2022;46.8;13/09/2021;747.5;0;1
Cerastium sp;280721-02;Snowbed;4;25;19;76;18;94.74;94.74;0;0;0;0;0;30/07/2021;19/09/2022;49.45833333;16/09/2021;779;0;0.918
Conopodium majus;240821-03;Fellfield;1;25;6;24;5;83.33;0;33.33;50;0;50;0;10/09/2021;19/09/2022;216.5;13/04/2022;615;100;1.522
Conopodium majus;240821-03;Fellfield;2;25;6;24;6;100;0;50;50;0;50;0;10/09/2021;25/04/2022;213;10/04/2022;604.5;100;1.459
Conopodium majus;240821-03;Fellfield;3;25;12;48;12;100;0;83.33;16.67;0;16.67;0;10/09/2021;02/05/2022;210.2;07/04/2022;597;100;0.817
Conopodium majus;240821-03;Fellfield;4;24;4;16.67;4;100;0;75;25;0;25;0;10/09/2021;18/04/2022;210.6666667;07/04/2022;597;100;0.811
Conopodium majus;240821-03;Snowbed;1;25;10;40;10;100;0;100;0;0;0;0;10/09/2021;11/05/2022;242.5;09/05/2022;406.5;100;0
Conopodium majus;240821-03;Snowbed;2;25;12;48;12;100;0;100;0;0;0;0;10/09/2021;11/05/2022;242.5;09/05/2022;406.5;100;0
Conopodium majus;240821-03;Snowbed;3;25;16;64;16;100;0;100;0;0;0;0;10/09/2021;11/05/2022;242.5;09/05/2022;406.5;100;0
Conopodium majus;240821-03;Snowbed;4;25;15;60;15;100;0;93.33;6.67;0;0;6.67;10/09/2021;23/06/2022;242.5357143;09/05/2022;406.5;100;0.353
Conopodium majus;250821-04;Fellfield;1;25;12;48;12;100;0;100;0;0;0;0;17/09/2021;11/04/2022;202.5;06/04/2022;490.5;100;0
Conopodium majus;250821-04;Fellfield;2;25;12;48;12;100;0;100;0;0;0;0;17/09/2021;11/04/2022;202.5;06/04/2022;490.5;100;0
Conopodium majus;250821-04;Fellfield;3;25;15;60;15;100;0;100;0;0;0;0;17/09/2021;11/04/2022;202.5;06/04/2022;490.5;100;0
Conopodium majus;250821-04;Fellfield;4;25;17;68;17;100;0;88.24;11.76;0;11.76;0;17/09/2021;30/05/2022;202.9666667;06/04/2022;490.5;100;0.64
Conopodium majus;250821-04;Snowbed;1;25;16;64;15;93.75;0;93.75;0;0;0;0;17/09/2021;19/09/2022;235.5333333;09/05/2022;325.5;100;0
Conopodium majus;250821-04;Snowbed;2;25;18;72;18;100;0;100;0;0;0;0;17/09/2021;11/05/2022;235.5;09/05/2022;325.5;100;0
Conopodium majus;250821-04;Snowbed;3;25;16;64;16;100;0;100;0;0;0;0;17/09/2021;11/05/2022;235.5;09/05/2022;325.5;100;0
Conopodium majus;250821-04;Snowbed;4;25;14;56;14;100;0;100;0;0;0;0;17/09/2021;11/05/2022;235.5;09/05/2022;325.5;100;0
Dethawia splendens;310821-07;Fellfield;1;20;13;65;11;84.62;0;0;84.62;0;84.62;0;24/09/2021;19/09/2022;225.25;06/05/2022;526;100;1.868
Dethawia splendens;310821-07;Fellfield;2;20;17;85;17;100;0;11.76;88.24;0;88.24;0;24/09/2021;16/05/2022;210.375;21/04/2022;451;100;2.278
Dethawia splendens;310821-07;Fellfield;3;19;14;73.68;14;100;0;7.14;92.86;0;92.86;0;24/09/2021;16/05/2022;208;19/04/2022;442;100;1.832
Dethawia splendens;310821-07;Fellfield;4;20;15;75;14;93.33;0;13.33;80;0;80;0;24/09/2021;19/09/2022;208.1;19/04/2022;442;100;2.121
Dethawia splendens;310821-07;Snowbed;1;19;12;63.16;12;100;0;100;0;0;0;0;24/09/2021;18/05/2022;228.6;09/05/2022;260;100;0.65
Dethawia splendens;310821-07;Snowbed;2;18;13;72.22;13;100;0;100;0;0;0;0;24/09/2021;18/05/2022;228.5909091;09/05/2022;260;100;0.619
Dethawia splendens;310821-07;Snowbed;3;20;14;70;14;100;0;100;0;0;0;0;24/09/2021;18/05/2022;228.5384615;09/05/2022;260;100;0.371
Dethawia splendens;310821-07;Snowbed;4;19;10;52.63;10;100;0;60;40;0;30;10;24/09/2021;29/06/2022;236;17/05/2022;261;100;2.446
Dianthus langeanus;110821-01;Fellfield;1;25;25;100;25;100;96;0;4;0;4;0;03/09/2021;18/04/2022;5;07/09/2021;83;4;1.159
Dianthus langeanus;110821-01;Fellfield;2;25;24;96;24;100;100;0;0;0;0;0;03/09/2021;05/11/2021;3.130434783;05/09/2021;51;0;0.25
Dianthus langeanus;110821-01;Fellfield;3;25;25;100;25;100;100;0;0;0;0;0;03/09/2021;08/10/2021;3.125;05/09/2021;51;0;0.242
Dianthus langeanus;110821-01;Fellfield;4;25;25;100;25;100;100;0;0;0;0;0;03/09/2021;08/10/2021;3.571428571;05/09/2021;51;0;0.634
Dianthus langeanus;110821-01;Snowbed;1;25;25;100;25;100;100;0;0;0;0;0;03/09/2021;08/10/2021;3.125;05/09/2021;51;0;0.242
Dianthus langeanus;110821-01;Snowbed;2;25;23;92;23;100;100;0;0;0;0;0;03/09/2021;08/10/2021;3.833333333;05/09/2021;51;0;0.755
Dianthus langeanus;110821-01;Snowbed;3;25;22;88;22;100;100;0;0;0;0;0;03/09/2021;09/09/2021;3;05/09/2021;51;0;0
Dianthus langeanus;110821-01;Snowbed;4;25;25;100;25;100;100;0;0;0;0;0;03/09/2021;08/10/2021;3.125;05/09/2021;51;0;0.242
Dianthus langeanus;120821-02;Fellfield;1;25;25;100;25;100;100;0;0;0;0;0;03/09/2021;05/11/2021;4.6875;06/09/2021;67;0;1.124
